행정시,업소명,소재지,X,Y
서귀포시,대정모텔,제주특별자치도 서귀포시 대정읍 상모인성로 276,126.277431571346,33.2471690789795
서귀포시,대흥장여관,제주특별자치도 서귀포시 대정읍 신영로 102,126.253824523232,33.2210795673459
서귀포시,써니호텔,제주특별자치도 서귀포시 대정읍 신영로 87-1,126.252321837347,33.2207950127909
서귀포시,뉴그린장여관,제주특별자치도 서귀포시 대정읍 신영로 93-3,126.25268332045,33.2209104273169
서귀포시,호텔52,제주특별자치도 서귀포시 대정읍 신영로36번길 35,126.247074965305,33.2198921419382
서귀포시,1월펜션,제주특별자치도 서귀포시 대정읍 중산간서로 2827,126.239275056189,33.2742992800625
서귀포시,2월펜션,제주특별자치도 서귀포시 대정읍 중산간서로 2829,126.239137659614,33.2743867965442
서귀포시,3월펜션,제주특별자치도 서귀포시 대정읍 중산간서로 2833,126.23888672975,33.2743845392196
서귀포시,5월펜션,제주특별자치도 서귀포시 대정읍 중산간서로 2835,126.238754180769,33.274284460885
서귀포시,6월펜션,제주특별자치도 서귀포시 대정읍 중산간서로 2835-1,126.238857079064,33.2741649069435
서귀포시,11월펜션,제주특별자치도 서귀포시 대정읍 중산간서로 2835-11,126.239265175165,33.2739039557918
서귀포시,12월펜션,제주특별자치도 서귀포시 대정읍 중산간서로 2835-15,126.238983734126,33.273744271979
서귀포시,7월펜션,제주특별자치도 서귀포시 대정읍 중산간서로 2835-3,126.239256781692,33.2741415676144
서귀포시,9월펜션,제주특별자치도 서귀포시 대정읍 중산간서로 2835-5,126.23917396779,33.2740122214047
서귀포시,8월펜션,제주특별자치도 서귀포시 대정읍 중산간서로 2835-7,126.238976684519,33.2740001044381
서귀포시,10월펜션,제주특별자치도 서귀포시 대정읍 중산간서로 2835-9,126.238864469022,33.2739070028923
서귀포시,코자스파호텔,제주특별자치도 서귀포시 대정읍 최남단해안로 44,126.252112247297,33.2166705804319
서귀포시,대정동성모텔,제주특별자치도 서귀포시 대정읍 최남단해안로 46,126.252090841693,33.2164885059251
서귀포시,남강여관,제주특별자치도 서귀포시 대정읍 최남단해안로 5,126.252366800262,33.2200867945916
서귀포시,모슬포1호텔,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 11,126.250915837134,33.2177381979601
서귀포시,모슬포2호텔,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 13,126.250722056654,33.2177324329233
서귀포시,모슬포3호텔,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 15,126.250535212424,33.2177434793933
서귀포시,운송,제주특별자치도 서귀포시 대정읍 추사로36번길 48,126.282485661321,33.2529404387856
서귀포시,이루다,제주특별자치도 서귀포시 대정읍 평화로 225,126.29536973388,33.2669786361656
서귀포시,대전여인숙,제주특별자치도 서귀포시 대정읍 하모상가로 18-1,126.250781201717,33.2214275136479
서귀포시,동원장여관,제주특별자치도 서귀포시 대정읍 하모이삼로52번길 14,126.253739370473,33.2225806948363
서귀포시,불란지호스텔,제주특별자치도 서귀포시 대정읍 하모중앙로 46-6,126.251765598515,33.2245426526455
서귀포시,제일장여관,제주특별자치도 서귀포시 대정읍 하모중앙로 79,126.252190688981,33.2211304364718
서귀포시,레몬트리,제주특별자치도 서귀포시 대정읍 하모항구로 70,126.251395570743,33.2196479995352
서귀포시,아크로뷰호텔,제주특별자치도 서귀포시 대정읍 하모항구로6번길 5,126.251546108355,33.2166449063311
서귀포시,송악리조트,제주특별자치도 서귀포시 대정읍 형제해안로 260,126.291810242601,33.2114355401398
서귀포시,주식회사포트에비뉴,제주특별자치도 서귀포시 대포동서로 63-19,126.438630079294,33.2407640025023
서귀포시,파밀리아,제주특별자치도 서귀포시 대포동서로 63-20,126.437997399994,33.2409751911431
서귀포시,보우힐펜션,제주특별자치도 서귀포시 대포연대로 50,126.431315643833,33.2401479655531
서귀포시,돈내코리조트,제주특별자치도 서귀포시 돈내코로 178,126.578685068701,33.302786540524
서귀포시,돈내코힐 리조트,제주특별자치도 서귀포시 돈내코로 180,126.578504215518,33.3029060234627
서귀포시,미도호스텔,제주특별자치도 서귀포시 동문동로 13-1,126.566341628968,33.2500526601723
서귀포시,테이크33,제주특별자치도 서귀포시 동문동로 3,126.567295723827,33.2495912830335
서귀포시,지에이치스테이,제주특별자치도 서귀포시 동문로 36,126.564463348845,33.2504777971231
서귀포시,케니스토리인,제주특별자치도 서귀포시 동문로 42,126.564970559352,33.2500952975393
서귀포시,삼화여관,제주특별자치도 서귀포시 동문로 54,126.566051252953,33.2495100379183
서귀포시,제주녹지리조트2,제주특별자치도 서귀포시 동홍동 2051,126.556287608813,33.2855433872989
서귀포시,데이즈호텔제주서귀포오션,제주특별자치도 서귀포시 동홍로 7,126.567424651419,33.2493848073306
서귀포시,티아일랜드호스텔,제주특별자치도 서귀포시 막숙포로 100,126.511650532552,33.233590767769
서귀포시,호텔섬오름,제주특별자치도 서귀포시 막숙포로 114,126.510252378014,33.2328758686727
서귀포시,모노모텔,제주특별자치도 서귀포시 명동로 11,126.563197026881,33.2473236002681
서귀포시,올래모텔,제주특별자치도 서귀포시 명동로 13-3,126.563436187853,33.2475436263964
서귀포시,탐라장여관,제주특별자치도 서귀포시 명동로 30,126.565028116214,33.2473796074035
서귀포시,서라벌모텔,제주특별자치도 서귀포시 명동로 4,126.562596240119,33.24680431347
서귀포시,서귀여관,제주특별자치도 서귀포시 명동로 43-5,126.566356100631,33.2478177488115
서귀포시,오성여관,제주특별자치도 서귀포시 명동로 43-7,126.566325894477,33.2478937411199
서귀포시,더퍼스트70호텔,제주특별자치도 서귀포시 명동로 46,126.566847661689,33.2472529671466
서귀포시,더베이리조트,제주특별자치도 서귀포시 문필로35번길 46,126.593486787115,33.2411988063511
서귀포시,오랑제리팬션,제주특별자치도 서귀포시 법환상로2번길 58,126.51446982874,33.244713663849
서귀포시,더 세리 호스텔,제주특별자치도 서귀포시 법환상로2번길 97-17,126.512016897477,33.2470167405054
서귀포시,호텔서귀피안,제주특별자치도 서귀포시 보목로64번길 178,126.590540213465,33.2444159941835
서귀포시,더코지인제주휴양펜션,제주특별자치도 서귀포시 보목로70번길 3,126.602793259239,33.2394568935633
서귀포시,파인힐호텔,제주특별자치도 서귀포시 부두로 44,126.564342195566,33.2413292453728
