사업장명,도로명전체주소,X,Y
동화약국,제주특별자치도 제주시 일주동로 241 (화북일동),126.570960870211,33.5198327989352
이화약국,"제주특별자치도 제주시 임항로 191, 1층 (건입동, 제주항국제여객터미널)",126.543440319692,33.5219764039135
옵티마힐링약국,"제주특별자치도 제주시 동화로 28, 1층 (화북일동)",126.572794072486,33.5178427402212
하나약국,"제주특별자치도 제주시 연북로 99, 1층 (연동, 365빌딩)",126.492005938839,33.4821139255537
밝은약국,"제주특별자치도 제주시 우정로 69, 1층 (외도일동)",126.4311189103,33.48665568526
제주공항약국,"제주특별자치도 제주시 공항로 2, 3층 (용담이동, 국제공항)",126.495951277797,33.5059364682672
명인약국,"제주특별자치도 제주시 연북로 511, 에이플렉스 1층 (아라일동)",126.534540530554,33.4844445262988
온누리한솔약국,제주특별자치도 제주시 일주동로 181 (화북일동),126.564818561283,33.5190270774341
한사랑약국,제주특별자치도 제주시 조천읍 신북로 217,126.636033867269,33.5357738080624
수약국,"제주특별자치도 제주시 동광로 124, 1층 (일도이동)",126.540293885402,33.5069867270985
메디팜감초당약국,제주특별자치도 제주시 구좌읍 구좌로 42,126.855869740474,33.5232786326305
오케이약국,"제주특별자치도 제주시 승천로 74, 1층 (아라이동)",126.542579496739,33.4921926501796
자연약국,"제주특별자치도 제주시 노연로 90, 1층 (연동)",126.489715841975,33.4857262153656
정민당약국,제주특별자치도 제주시 중앙로 127 (이도일동),126.524800210254,33.5073114444632
화북약국,"제주특별자치도 제주시 일주동로 199 (화북일동,2층)",126.566846605617,33.5190229158855
차귀도 약국,제주특별자치도 제주시 한경면 고산로 8,126.179829663884,33.3016564504699
제일약국,제주특별자치도 제주시 구좌읍 구좌로 47,126.856614176205,33.5233019464664
동보약국,제주특별자치도 제주시 오현길 78 (이도일동),126.525549123259,33.5117368883857
제일약국,제주특별자치도 서귀포시 성산읍 동류암로36번길  23,126.915076362584,33.4496175289055
다정약국,"제주특별자치도 제주시 아란7길 18, 1층 101호 (아라일동)",126.543512177609,33.4745816172885
연동팜약국,"제주특별자치도 제주시 연북로 38, 1층 (노형동)",126.485403352408,33.4816497749802
새우리약국,제주특별자치도 제주시 서사로 36 (삼도일동),126.519651446053,33.509244975192
건강약국,제주특별자치도 서귀포시 대정읍 하모상가로 51-1,126.254101053428,33.2221554085645
건강일등약국,"제주특별자치도 제주시 중앙로 616, 1층 (아라일동)",126.547021236972,33.4687713436155
한라약국,"제주특별자치도 제주시 월랑로 33, 1층 (노형동, 한라빌딩)",126.47608257237,33.4885609141354
삼화사랑약국,"제주특별자치도 제주시 건주로 43, 1층 (도련일동)",126.580987069057,33.515618997731
바로약국,"제주특별자치도 제주시 일주동로 197, 1층 (화북일동)",126.566579766919,33.518980148661
조천약국,제주특별자치도 제주시 조천읍 신북로 226,126.637179387123,33.5360014855524
바다약국,"제주특별자치도 제주시 절물1길 39, 1층 (외도일동)",126.431700812432,33.4893883655753
동산프라자약국,제주특별자치도 서귀포시 중앙로 86 (서귀동),126.561317325862,33.252272884907
추자약국,제주특별자치도 제주시 추자면 추자로 20,126.296964800114,33.9637380321474
인수당건재약국,제주특별자치도 제주시 관덕로 54-2 (이도일동),126.525174274985,33.5129538615179
신한당약국,제주특별자치도 제주시 조천읍 신북로 530,126.666361762931,33.5415018463703
보림약국,제주특별자치도 제주시 동문로 35 (일도일동),126.530409934429,33.5131036478419
새한온누리약국,"제주특별자치도 제주시 신대로 128 (연동,신대로128)",126.496059583157,33.4858517995196
은솔약국,제주특별자치도 제주시 한림읍 한림중앙로 46,126.265107178745,33.4105960192047
동인한약국,"제주특별자치도 제주시 신광로 105, 1층 (연동, 연동하늘그린)",126.490067205745,33.4826131098595
베스트약국,제주특별자치도 제주시 중앙로 354 (이도이동),126.537715735683,33.4900853370456
싱싱약국,제주특별자치도 제주시 노형로 386 (노형동),126.4769251227,33.4841515431711
녹십자약국,제주특별자치도 제주시 한림읍 한림중앙로 4,126.264581121556,33.4144663931644
함덕하나로약국,제주특별자치도 제주시 조천읍 함와로 40,126.674912222026,33.5365660075389
보건약국,"제주특별자치도 제주시 연동3길 37, 1층 (연동)",126.488105206806,33.4865880768705
그린약국,"제주특별자치도 제주시 동화로 30, 1층 (화북일동)",126.5727900733,33.5176052471037
예약국,"제주특별자치도 제주시 서광로 83, 1층 (용담이동, 예나빌딩)",126.504956663437,33.5006079534785
메디칼약국,"제주특별자치도 제주시 고마로 149 (일도이동, 회광빌딩)",126.543570318192,33.5015046264362
센타약국,"제주특별자치도 제주시 중앙로 266, 1층 102호 (이도이동, 영도 갤럭시타운)",126.531799909918,33.4961300404314
비타민약국,"제주특별자치도 제주시 일주동로 250, 1층 (화북일동)",126.571981190343,33.5197231790278
진영약국,"제주특별자치도 제주시 건주로4길 6-8, SH 빌딩 103호 (도련일동)",126.58029352618,33.5167666311552
청사약국,"제주특별자치도 제주시 중앙로 234, 1층 (이도이동)",126.530145502453,33.498840457724
명원약국,"제주특별자치도 제주시 동광로 100 (일도이동,1층)",126.538443642564,33.5055019582814
동의당온누리약국,제주특별자치도 제주시 만덕로 21 (건입동),126.532171968381,33.5147231699557
남광약국,제주특별자치도 제주시 남광로2길 43 (이도이동),126.540041851833,33.4892589358421
광주약국,제주특별자치도 제주시 국기로 7 (연동),126.490041814131,33.4811441301246
생생약국,제주특별자치도 제주시 원노형남1길 1 (노형동),126.480730767311,33.484006612815
해약국,제주특별자치도 제주시 서광로 263 (삼도일동),126.524595836648,33.5002241500889
고승아약국,제주특별자치도 제주시 동광로 131 (일도이동),126.540471800294,33.5079413615319
백세약국,제주특별자치도 제주시 서광로 300-1 (이도이동),126.528633948144,33.500391586513
우주약국,"제주특별자치도 제주시 용담로 92 (용담이동,1층)",126.512347253755,33.5119148080676
미소약국,"제주특별자치도 제주시 월랑로8길 1 (노형동,아란야플라자 1층 105호)",126.476679743326,33.4888313001214
