사업장명,도로명주소,X,Y
지에스25제주연북점,"제주특별자치도 제주시 과원북4길 82, 1층 (연동)",126.490144761509,33.4808900339402
세븐일레븐제주이도타운점,"제주특별자치도 제주시 신설로7길 50, 1층 (이도이동)",126.546532011614,33.4949684896631
씨유제주뜨란채점,"제주특별자치도 제주시 수덕로 44, 상가동 101호 (노형동, 뜨란채아파트)",126.47321268386,33.4871157588376
세븐일레븐 제주KAL중앙점,제주특별자치도 제주시 중앙로 143 (이도일동),126.525566619171,33.5060261881469
GS25이도신설점,"제주특별자치도 제주시 신설로2길 1, 1층 (이도이동)",126.5420935722,33.4940487704285
씨유제주용담서문로점,제주특별자치도 제주시 서문로 12 (용담일동),126.512788846146,33.5094396974512
세븐일레븐 제주라마다시티점,제주특별자치도 제주시 중앙로 304 (이도이동),126.534296856443,33.4935050841641
씨유 제주신성점,제주특별자치도 제주시 일주서로 7850 (연동),126.485226717907,33.4934840576848
씨유 제주그랜드점,제주특별자치도 제주시 노연로 73 (연동),126.488059054013,33.4861479993868
GS25 제주귀일중점,제주특별자치도 제주시 애월읍 항몽로 34,126.405339622315,33.4806146606987
씨유제주고산점,제주특별자치도 제주시 한경면 용고로 86,126.179509780373,33.3012473581864
씨유 제주고내리점,제주특별자치도 제주시 애월읍 일주서로 6516,126.349622549744,33.4661377183263
씨유제주구산로점,제주특별자치도 제주시 구산로 28 (아라일동),126.538315066578,33.4830517958078
씨유 제주영진점,제주특별자치도 제주시 용문로 162 (용담이동),126.510736857537,33.50880482511
씨유 신제주점,"제주특별자치도 제주시 삼무로 62, 1층 (연동)",126.493193578519,33.4896088581659
씨유제주설촌로점,"제주특별자치도 제주시 설촌로12길 23-1, 1층 (삼양이동)",126.582793584526,33.5246823989407
씨유제주칼호텔점,제주특별자치도 제주시 중앙로 143 (이도일동),126.525566619171,33.5060261881469
GS25 제주한라점,"제주특별자치도 제주시 한라대학로 63, 록담빌딩 1층 (노형동)",126.477365374458,33.4766848790192
씨유제주회천점,"제주특별자치도 제주시 중산간동로 14, 101호 (봉개동)",126.599078627013,33.4891751232904
씨유제주아란길점,"제주특별자치도 제주시 아란1길 19, 1층 (아라일동)",126.540389647823,33.4758690986014
세븐일레븐 제주세화점,"제주특별자치도 제주시 구좌읍 세화2길 11, 1층",126.856139718486,33.5225610926015
GS25세화삼거리점,제주특별자치도 제주시 구좌읍 일주동로 3103,126.851411735477,33.5237745643381
세븐일레븐 제주북촌점,"제주특별자치도 제주시 조천읍 일주동로 1574, 1층 11호 (대상다려마을연립)",126.701441910608,33.5510524394959
GS25제주신북점,제주특별자치도 제주시 조천읍 신북로 66,126.620991235356,33.5339134197139
GS25 연동대림점,제주특별자치도 제주시 과원북4길 73 (연동),126.489314865765,33.4812093874695
세븐일렐븐 제주용해로점,제주특별자치도 제주시 용화로 1 (용담이동),126.503637593772,33.5100950698187
세븐일레븐제주한림로점,제주특별자치도 제주시 한림읍 한림로 362,126.242256620537,33.3951349118911
GS25함덕골든튤립,"제주특별자치도 제주시 조천읍 조함해안로 504, 102호",126.666865346791,33.5423935245741
세븐일레븐제주하도점,제주특별자치도 제주시 구좌읍 문주란로1길 74-24,126.885036201986,33.5254844278456
세븐일레븐제주사라점,제주특별자치도 제주시 사라봉7길 31-1 (건입동),126.539879501405,33.5153096718713
(주)코리아세븐 제주노형한라점,제주특별자치도 제주시 정존1길 6 (노형동),126.472639346578,33.4818511809411
(주)코리아세븐 제주관덕로점,제주특별자치도 제주시 관덕로 38 (삼도이동),126.523322388014,33.5129906569662
CU 도남오거리점,제주특별자치도 제주시 도남로 37 (도남동),126.526588881341,33.4968023035701
씨유제주광평점,"제주특별자치도 제주시 광평동로 20, 1층 (노형동)",126.470770804496,33.4821321762456
GS25 삼양해변점,제주특별자치도 제주시 선사로8길 16 (삼양일동),126.587550285439,33.5257168579251
CU제주곰솔곶점,제주특별자치도 제주시 신설로7길 25 (이도이동),126.544625611406,33.4938584883261
GS25 도두해안로점,제주특별자치도 제주시 서해안로 301-1 (도두이동),126.477680225729,33.5091137182446
GS25 연동에코점,제주특별자치도 제주시 신광로 16 (연동),126.489906347045,33.4906900835037
GS25 노형에비뉴점,제주특별자치도 제주시 연북로 21 (노형동),126.483555411697,33.4824009588886
씨유제주삼무로점,제주특별자치도 제주시 신대로8길 17 (연동),126.494806370603,33.4918047792339
(주)코리아세븐 제주연동센터점,제주특별자치도 제주시 신광로 103 (연동),126.490076347944,33.4828707325497
세븐일레븐 제주아라점,"제주특별자치도 제주시 인다2길 66, 한울채 1층 101호 (아라일동)",126.549782520501,33.4718904727772
씨유제주중앙점,"제주특별자치도 제주시 남광로2길 11-2, 1층 (이도이동)",126.538056794145,33.4913295466568
GS25제주우령점,"제주특별자치도 제주시 우령서로 20, 1층 (외도일동)",126.426306378091,33.4906049062439
레몬비 동광로점,"제주특별자치도 제주시 동광로7길 16-22, 1층 (이도일동)",126.532197735208,33.5037143874246
세븐일레븐 제주연동하이츠빌점,"제주특별자치도 제주시 신대로6길 14 (연동, 정우하이츠빌)",126.495129059777,33.4925865121785
세븐일레븐제주동광점,제주특별자치도 제주시 연삼로 550 (일도이동),126.547781984671,33.5024631361587
GS25제주동교점,제주특별자치도 제주시 동문로 68 (일도이동),126.533888589825,33.5133825743962
씨유 제주화북점,제주특별자치도 제주시 화남로 66 (화북이동),126.563473429291,33.5119915507726
씨유 화북주공점,제주특별자치도 제주시 동화로 7 (화북일동),126.573119751223,33.5194051495984
GS25 정든마을점,"제주특별자치도 제주시 달마루길 20-1 (노형동, 혜연빌딩)",126.473945883085,33.4900130709167
씨유제주이도주공점,"제주특별자치도 제주시 구남로 31, 상가동 1층 5호 (이도이동)",126.533150715954,33.4903602497708
GS25 연동신광점,제주특별자치도 제주시 도령로 76 (연동),126.486554163651,33.489817924436
GS25 용담전망대점,"제주특별자치도 제주시 서해안로 448, 1층 (용담삼동)",126.487494124362,33.5176907632501
GS25 조천다온점,"제주특별자치도 제주시 조천읍 신북로 99, 1층",126.623962266109,33.5357774113453
씨유제주해밀타운점,제주특별자치도 제주시 조천읍 신북로 460,126.659516300575,33.5435566944845
세븐일레븐 제주김녕점,제주특별자치도 제주시 구좌읍 김녕로 127,126.751420872107,33.5551317733781
세븐일레븐외도로점,"제주특별자치도 제주시 우정로4길 40 (외도일동, 네오하임 플러스)",126.426617405487,33.4914291349092
GS연동삼무점,제주특별자치도 제주시 삼무로 47 (연동),126.491762529504,33.490096348438
GS연동서강점,제주특별자치도 제주시 신대로16길 43 (연동),126.491787295208,33.4867223316676
GS25제주연중점,제주특별자치도 제주시 신대로14길 52 (연동),126.490976756796,33.487991332051
GS25 제주보성점,제주특별자치도 제주시 중앙로 198 (이도일동),126.528161990714,33.5016329956636
GS25 노형대림시티점,"제주특별자치도 제주시 원노형남1길 17 (노형동, 골든빌)",126.482408004512,33.4841254264005
GS25 노형광평점,제주특별자치도 제주시 광평동로 13 (노형동),126.470948302484,33.4814999263942
씨유제주신성로점,제주특별자치도 제주시 신성로 10 (오라일동),126.520829063341,33.4956769750865
지에스25 신이도점,제주특별자치도 제주시 승천로 80 (아라이동),126.543052178143,33.4917270977693
씨유 제주시민점,제주특별자치도 제주시 중앙로 122 (삼도이동),126.52414812981,33.50760385205
코리아세븐 제주삼무점,제주특별자치도 제주시 삼무로9길 35 (연동),126.494713315347,33.4904854610657
