user_count,설치장소,행정시,읍면동,주소,X,Y
33848,예래생태체험관,서귀포시,하예동,서귀포시 하예동 24-1,126.390984681226,33.2443632565645
113235,서귀포자연휴양림,서귀포시,하원동,서귀포시 하원동 산1-1,126.476171521359,33.333153339392
127881,전기차충전소_약천사 GS25,서귀포시,하원동,서귀포시 하원동 1698-1,126.450560929524,33.2436982403742
10968,전기차충전소_영실매표소,서귀포시,하원동,서귀포시 하원동 산1-1,126.476171521359,33.333153339392
785848,하효 쇠소깍 해변,서귀포시,하효동,서귀포시 하효동 995,126.623006619381,33.2522502331569
66758,13코스,제주시,한경면,제주시 한경면 용수리 4240-2,126.165985154496,33.323924992267
153777,14코스,제주시,한경면,제주시 한경면 중산간서로 3687,126.255967351426,33.3336912173584
70638,생각하는정원,제주시,한경면,제주시 한경면 녹차분재로 675,126.255005128834,33.3255844945227
43309,알프스얼음보석궁전,제주시,한경면,제주시 한경면 청수리 958,126.249469492267,33.2912341510913
14671,유리의성,제주시,한경면,제주시 한경면 녹차분재로 462,126.273662413462,33.3146338680657
35970,전기차충전소_GS25 너울빌리지점,제주시,한경면,제주시 한경면 금등리 646-3,126.193374703782,33.3627422168184
48420,전기차충전소_한경119센터,제주시,한경면,제주시 한경면 일주서로 4218,126.182849104955,33.342696870172
130224,전기차충전소_한경면사무소,제주시,한경면,제주시 한경면 두신로 84(신창리),126.184104963209,33.3501105196415
25605,전기차충전소_해양경비안전센터(고산출장소),제주시,한경면,제주시 한경면 노을해안로 1145,126.164095617201,33.3081774233966
146351,판포해변(포구),제주시,한경면,제주시 한경면 판포리 1709 앞,126.200571379615,33.3647593697263
49140,환상숲,제주시,한경면,제주시 한경면 녹차분재로 594-1,126.263238052577,33.3225720333875
7184,방림원,제주시,한경면,제주시 한경면 용금로 864,126.268512900749,33.3372284167289
12526,"전쟁역사박물관 (구,평화박물관)",제주시,한경면,제주시 한경면 청수서5길 63,126.249548049838,33.3058185911377
44639,전기차충전소_한경체육관,제주시,한경면,제주시 한경면 고산리 1881-2,126.184139343607,33.300994918763
44639,한경체육관,제주시,한경면,제주시 한경면 고산리 1881-2,126.184139343607,33.300994918763
5225,문화예술마을 저지리 농어촌체험마을,제주시,한경면,제주시 한경면 저지리 1863-1,126.255856320857,33.3326266661664
2724,제주고산리유적안내센타,제주시,한경면,제주시 한경면 고산리 3650-1,126.166295745223,33.3042058055814
12398,벌내물 공원,제주시,한경면,제주시 한경면 신창리 1322-1,126.173908545785,33.3434285042685
831,청수리 농어촌체험마을,제주시,한경면,제주시 한경면 청수리 1570,126.247288254549,33.3179402873165
7448,한원리 소공원,제주시,한경면,제주시 한경면 두모리 1499-1,126.19624899094,33.3382082865844
4747,힐링카약파크비체올린,제주시,한경면,제주시 한경면 판조로 253-6,126.218190777807,33.3494476861153
452,14-1코스,제주시,한경면,제주시 한경면 저지리 2178-4,126.274772249125,33.335220026144
22146,싱계물공원,제주시,한경면,제주시 한경면 신창리 1322-1,126.173908545785,33.3434285042685
17985,신창풍차해안도로,제주시,한경면,제주시 한경면 신창리 1481-21,126.172163361339,33.34302559305
29955,저지리 예술인 마을,제주시,한경면,제주시 한경면 저지리 2114-97,126.26379545994,33.3385429329733
4564,웃뜨르빛센터,제주시,한경면,제주시 한경면 청수리 113-3,126.259020138355,33.3023010325137
1682,감귤향기힐링파크,제주시,한경면,제주시 한경면 두모리 27,126.215762158429,33.3400794230563
979,성김대건신부표착기념관,제주시,한경면,제주시 한경면 용수리 4266,126.167681932655,33.3226438502024
7445,엉알해안,제주시,한경면,제주시 한경면 고산리 3674-9,126.168052489526,33.2988517357723
155438,15코스,제주시,한림읍,제주시 한림읍 대림리 2019-17,126.262596925607,33.4192408692422
50844,그리스신화박물관,제주시,한림읍,제주시 한림읍 광산로 942,126.357521258907,33.3480861338113
281943,금능으뜸원 해변(금능해수욕장),제주시,한림읍,제주시 한림읍 금능리 2036-1번지,126.235915650007,33.3900733723089
