,자치구,행정동,고령자,의료인력,심한 장애,심하지 않은 장애
347,서초구,서초1동,20727,505,184,292
348,서초구,서초2동,26856,370,174,279
349,서초구,서초3동,32397,548,276,459
350,서초구,서초4동,30584,1222,178,294
351,서초구,잠원동,26459,657,195,312
352,서초구,반포본동,305,166,12,18
353,서초구,반포1동,34634,344,192,420
354,서초구,반포2동,15823,65,79,155
355,서초구,반포3동,22055,24,144,223
356,서초구,반포4동,19581,3448,124,233
357,서초구,방배본동,20843,257,190,283
358,서초구,방배1동,16896,378,159,317
359,서초구,방배2동,18631,62,229,447
360,서초구,방배3동,17643,209,143,272
361,서초구,방배4동,23444,285,225,371
362,서초구,양재1동,42875,522,914,982
363,서초구,양재2동,21769,122,267,414
364,서초구,내곡동,17503,104,389,446
365,강남구,논현1동,22296,1523,194,354
366,강남구,논현2동,20891,906,192,318
367,강남구,삼성1동,12847,744,107,184
368,강남구,삼성2동,31067,507,226,347
369,강남구,대치1동,23868,436,110,172
370,강남구,대치4동,19677,592,152,240
371,강남구,역삼1동,35780,2741,238,490
372,강남구,역삼2동,37263,373,218,418
373,강남구,도곡1동,21351,2222,137,243
374,강남구,도곡2동,32863,192,159,329
375,강남구,개포1동,6928,15,65,148
376,강남구,개포4동,23763,267,249,374
377,강남구,일원본동,23063,5042,417,291
378,강남구,일원1동,15042,125,576,506
379,강남구,일원2동,17475,102,642,537
380,강남구,수서동,14530,136,1257,858
381,강남구,세곡동,43469,262,920,1022
382,강남구,압구정동,25947,40,180,318
383,강남구,청담동,25462,1587,167,319
384,강남구,대치2동,37188,435,221,363
385,강남구,개포2동,28276,73,211,316
386,송파구,풍납1동,13048,87,216,406
387,송파구,풍납2동,24481,6488,289,526
388,송파구,거여1동,12316,105,222,398
389,송파구,거여2동,23664,159,453,537
390,송파구,마천1동,18756,189,448,778
391,송파구,마천2동,18275,75,424,792
392,송파구,방이1동,15536,209,151,266
393,송파구,방이2동,26589,189,272,500
394,송파구,오륜동,17836,16,134,169
395,송파구,오금동,38147,239,582,848
396,송파구,송파1동,24046,352,267,437
397,송파구,송파2동,19057,70,185,317
398,송파구,석촌동,31707,346,355,651
399,송파구,삼전동,30019,159,331,580
400,송파구,가락본동,26024,1190,264,484
401,송파구,가락1동,27481,81,215,341
402,송파구,가락2동,31738,125,358,574
403,송파구,문정1동,20018,223,234,316
404,송파구,문정2동,28945,168,187,342
405,송파구,잠실본동,16720,589,274,490
406,송파구,잠실4동,9475,236,181,256
407,송파구,잠실6동,34826,195,140,236
408,송파구,잠실7동,34042,20,69,149
409,송파구,잠실2동,29175,110,193,387
410,송파구,잠실3동,44364,73,241,449
411,송파구,장지동,28362,85,616,706
412,송파구,위례동,21200,1,466,654
413,강동구,강일동,33097,59,687,941
414,강동구,명일1동,25697,342,338,518
415,강동구,명일2동,17362,201,182,264
416,강동구,고덕1동,23850,39,282,399
417,강동구,고덕2동,22696,33,368,435
418,강동구,암사2동,15124,124,195,305
419,강동구,암사3동,17466,62,207,345
420,강동구,천호1동,26753,172,529,891
421,강동구,천호3동,26637,262,490,810
422,강동구,성내1동,19936,216,228,417
423,강동구,성내2동,23704,489,367,704
424,강동구,성내3동,23197,290,315,561
425,강동구,둔촌1동,81,4,1,2
426,강동구,둔촌2동,24343,1558,337,598
427,강동구,암사1동,34305,137,630,1052
428,강동구,천호2동,33813,786,597,1051
429,강동구,길동,45420,1486,708,1275
430,강동구,상일1동,39038,353.65,421,614
431,강동구,상일2동,11971,353.65,238,307
432,영등포구,여의도동,22695.53,1753,345.59,571.29
433,강동구,상일동,22695.53,1174,345.59,571.29
