ctprvn_nm|signgu_nm|emd_nm|regist_se|inqire_ym|managt_cnt|ldadng_dt
서울특별시|서울특별시 동작구|서울특별시 동작구청|사망|201501|224|2017-11-21 16:58:47
서울특별시|서울특별시 동작구|서울특별시 동작구청|이혼|201501|46|2017-11-21 16:58:47
서울특별시|서울특별시 동작구|서울특별시 동작구청|출생|201501|351|2017-11-21 16:58:47
서울특별시|서울특별시 동작구|서울특별시 동작구청|혼인|201501|301|2017-11-21 16:58:47
서울특별시|서울특별시 마포구|서울특별시 마포구청|개명|201501|65|2017-11-21 16:58:47
서울특별시|서울특별시 마포구|서울특별시 마포구청|사망|201501|169|2017-11-21 16:58:47
서울특별시|서울특별시 마포구|서울특별시 마포구청|이혼|201501|47|2017-11-21 16:58:47
서울특별시|서울특별시 마포구|서울특별시 마포구청|출생|201501|275|2017-11-21 16:58:47
서울특별시|서울특별시 마포구|서울특별시 마포구청|혼인|201501|297|2017-11-21 16:58:47
서울특별시|서울특별시 서대문구|서울특별시 서대문구청|개명|201501|43|2017-11-21 16:58:47
서울특별시|서울특별시 서대문구|서울특별시 서대문구청|사망|201501|127|2017-11-21 16:58:47
서울특별시|서울특별시 서대문구|서울특별시 서대문구청|이혼|201501|50|2017-11-21 16:58:47
서울특별시|서울특별시 서대문구|서울특별시 서대문구청|출생|201501|178|2017-11-21 16:58:47
서울특별시|서울특별시 서대문구|서울특별시 서대문구청|혼인|201501|117|2017-11-21 16:58:47
서울특별시|서울특별시 서초구|서울특별시 서초구청|개명|201501|132|2017-11-21 16:58:47
서울특별시|서울특별시 서초구|서울특별시 서초구청|사망|201501|153|2017-11-21 16:58:47
서울특별시|서울특별시 서초구|서울특별시 서초구청|이혼|201501|197|2017-11-21 16:58:47
서울특별시|서울특별시 서초구|서울특별시 서초구청|출생|201501|380|2017-11-21 16:58:47
서울특별시|서울특별시 서초구|서울특별시 서초구청|혼인|201501|549|2017-11-21 16:58:47
서울특별시|서울특별시 성동구|서울특별시 성동구청|개명|201501|66|2017-11-21 16:58:47
서울특별시|서울특별시 성동구|서울특별시 성동구청|사망|201501|125|2017-11-21 16:58:47
서울특별시|서울특별시 성동구|서울특별시 성동구청|이혼|201501|55|2017-11-21 16:58:47
서울특별시|서울특별시 성동구|서울특별시 성동구청|출생|201501|209|2017-11-21 16:58:47
서울특별시|서울특별시 성동구|서울특별시 성동구청|혼인|201501|202|2017-11-21 16:58:47
서울특별시|서울특별시 성북구|서울특별시 성북구청|개명|201501|81|2017-11-21 16:58:47
서울특별시|서울특별시 성북구|서울특별시 성북구청|사망|201501|209|2017-11-21 16:58:47
서울특별시|서울특별시 성북구|서울특별시 성북구청|이혼|201501|46|2017-11-21 16:58:47
서울특별시|서울특별시 성북구|서울특별시 성북구청|출생|201501|314|2017-11-21 16:58:47
서울특별시|서울특별시 성북구|서울특별시 성북구청|혼인|201501|245|2017-11-21 16:58:47
서울특별시|서울특별시 송파구|서울특별시 송파구청|개명|201501|84|2017-11-21 16:58:47
서울특별시|서울특별시 송파구|서울특별시 송파구청|사망|201501|204|2017-11-21 16:58:47
서울특별시|서울특별시 송파구|서울특별시 송파구청|이혼|201501|90|2017-11-21 16:58:47
서울특별시|서울특별시 송파구|서울특별시 송파구청|출생|201501|471|2017-11-21 16:58:47
서울특별시|서울특별시 송파구|서울특별시 송파구청|혼인|201501|470|2017-11-21 16:58:47
서울특별시|서울특별시 양천구|서울특별시 양천구청|개명|201501|157|2017-11-21 16:58:47
서울특별시|서울특별시 양천구|서울특별시 양천구청|사망|201501|177|2017-11-21 16:58:47
서울특별시|서울특별시 양천구|서울특별시 양천구청|이혼|201501|113|2017-11-21 16:58:47
서울특별시|서울특별시 양천구|서울특별시 양천구청|출생|201501|318|2017-11-21 16:58:47
서울특별시|서울특별시 양천구|서울특별시 양천구청|혼인|201501|247|2017-11-21 16:58:47
서울특별시|서울특별시 영등포구|서울특별시 영등포구청|개명|201501|57|2017-11-21 16:58:47
서울특별시|서울특별시 영등포구|서울특별시 영등포구청|사망|201501|142|2017-11-21 16:58:47
