,행정구역명,행정구역코드,고령자,수급자,중증장애,매출액,고령자_zscore,수급자_zscore,중증장애_zscore,매출액_zscore,고령자_tscore,수급자_tscore,중증장애_tscore,매출액_tscore,의료가중지수
33,구로3동,1117054,3541,492,305,346271373.1,-0.149220523,-0.604362248,-0.183885522,0.374905035,48.50779477,43.95637752,48.16114478,53.74905035,50.28859329
34,구로4동,1117055,4665,957,419,287632641.1,0.587761094,0.051264598,0.31434124,0.05750574,55.87761094,50.51264598,53.1434124,50.5750574,51.94569049
35,구로5동,1117056,4826,496,394,424516570.4,0.693325187,-0.598722448,0.205080985,0.798430061,56.93325187,44.01277552,52.05080985,57.98430061,54.58738762
36,구산동,1112057,6237,1536,1287,244016233.8,1.618486274,0.867625768,4.107857288,-0.178580826,66.18486274,58.67625768,91.07857288,48.21419174,58.99723512
37,구의1동,1105060,3120,976,278,238442828.5,-0.425260791,0.078053652,-0.301886597,-0.208748513,45.74739209,50.78053652,46.98113403,47.91251487,47.8649715
38,구의2동,1105061,4355,1132,367,106443680.5,0.384501039,0.298005884,0.08707991,-0.923232525,53.84501039,52.98005884,50.8707991,40.76767475,46.78319964
39,구의3동,1105062,4127,553,284,333747922.4,0.235006548,-0.518355286,-0.275664136,0.307118194,52.35006548,44.81644714,47.24335864,53.07118194,50.75390215
40,군자동,1105054,3015,921,277,167672216.3,-0.494106938,0.000506391,-0.306257007,-0.59181516,45.05893062,50.00506391,46.93742993,44.0818484,45.67077525
41,금호1가동,1104059,2637,772,246,222765031.9,-0.741953069,-0.20957619,-0.441739723,-0.293609175,42.58046931,47.9042381,45.58260277,47.06390825,46.129115
42,금호2.3가동,1104072,3887,769,302,181478698.1,0.077643925,-0.213806041,-0.196996752,-0.517083537,50.77643925,47.86193959,48.03003248,44.82916463,46.94946365
43,금호4가동,1104062,2406,442,178,349894232.3,-0.893414594,-0.674859759,-0.738927616,0.39451482,41.06585406,43.25140241,42.61072384,53.9451482,48.08108082
44,길동,1125074,7986,1637,708,441622380.8,2.765266388,1.010030739,1.577389786,0.891020264,77.65266388,60.10030739,65.77389786,58.91020264,63.72492512
45,길음1동,1108066,4615,592,375,233578127.6,0.554977214,-0.463367228,0.122043192,-0.235080131,55.54977214,45.36632772,51.22043192,47.64919869,49.27621512
46,길음2동,1108068,2559,516,201,121800603.7,-0.793095922,-0.570523444,-0.638408182,-0.840108685,42.06904078,44.29476556,43.61591818,41.59891315,42.41683848
47,낙성대동,1121058,2021,444,194,131559488.5,-1.145850468,-0.672039858,-0.669001053,-0.787285865,38.54149532,43.27960142,43.30998947,42.12714135,41.75954867
48,난곡동,1121081,5450,2148,612,199077814.5,1.102468006,1.730515295,1.157830407,-0.42182317,61.02468006,67.30515295,61.57830407,45.7817683,54.57150994
49,난향동,1121071,2721,654,243,121416233.8,-0.686876151,-0.375950315,-0.454850954,-0.8421892,43.13123849,46.24049685,45.45149046,41.578108,43.18882496
50,남가좌1동,1113069,2180,287,183,549106904.7,-1.04159773,-0.893402041,-0.717075565,1.472811701,39.5840227,41.06597959,42.82924435,64.72811701,52.82106501
51,남가좌2동,1113070,4851,1330,434,154157110.6,0.709717127,0.577176025,0.379897393,-0.664969624,57.09717127,55.77176025,53.79897393,43.35030376,49.57951592
52,남영동,1103053,1543,1375,194,162177168.2,-1.459264359,0.640623785,-0.669001053,-0.621558715,35.40735641,56.40623785,43.30998947,43.78441285,44.25851801
53,남현동,1121063,2791,365,192,243021367.6,-0.64097872,-0.783425925,-0.677741874,-0.183965831,43.5902128,42.16574075,43.22258126,48.16034169,45.58004069
54,내곡동,1122068,3286,815,389,154850677.5,-0.31641831,-0.148948331,0.183228934,-0.66121549,46.8358169,48.51051669,51.83228934,43.3878451,46.02946252
55,노량진1동,1120072,5869,1213,458,162221714.7,1.377196919,0.412211851,0.484787238,-0.621317595,63.77196919,54.12211851,54.84787238,43.78682405,50.97516065
56,노량진2동,1120052,2285,884,187,95030478.36,-0.972751583,-0.051661767,-0.699593925,-0.985009821,40.27248417,49.48338233,43.00406075,40.14990179,42.16454723
57,녹번동,1112051,7050,1749,566,163067289.3,2.151552159,1.167945162,0.956791539,-0.616740675,71.51552159,61.67945162,59.56791539,43.83259325,54.4592944
58,논현1동,1123052,2966,868,194,309029151.6,-0.526235141,-0.07422097,-0.669001053,0.173320614,44.73764859,49.2577903,43.30998947,51.73320614,48.84799478
59,논현2동,1123053,3155,489,192,242024484.4,-0.402312075,-0.608592099,-0.677741874,-0.189361753,45.97687925,43.91407901,43.22258126,48.10638247,46.33635357
60,능동,1105059,1637,383,133,206931716.4,-1.397630665,-0.758046821,-0.935596075,-0.379311628,36.02369335,42.41953179,40.64403925,46.20688372,42.8121035
61,다산동,1102070,2762,507,201,239968147.5,-0.65999337,-0.583212995,-0.638408182,-0.200492278,43.4000663,44.16787005,43.61591818,47.99507722,45.8589189
62,답십리1동,1106091,4070,866,394,143641874.6,0.197632925,-0.077040871,0.205080985,-0.721886415,51.97632925,49.22959129,52.05080985,42.78113585,46.90736348
63,답십리2동,1106086,5562,1313,493,478791599.4,1.175903897,0.553206872,0.637751594,1.092209536,61.75903897,55.53206872,56.37751594,60.92209536,59.57815699
64,당산1동,1119055,3394,569,250,191997595.9,-0.24560513,-0.495796083,-0.424258082,-0.460146925,47.5439487,45.04203917,45.75741918,45.39853075,45.81008937
65,당산2동,1119056,4696,294,299,227968112,0.608087099,-0.88353239,-0.210107983,-0.265445981,56.08087099,41.1646761,47.89892017,47.34554019,48.08012763
66,대림1동,1119070,3181,636,285,471368738.4,-0.385264458,-0.401329419,-0.271293726,1.052031129,46.14735542,45.98670581,47.28706274,60.52031129,53.44818309
67,대림2동,1119071,3082,517,219,397337107.1,-0.450176539,-0.569113493,-0.559740798,0.651313263,45.49823461,44.30886507,44.40259202,56.51313263,50.66058862
68,대림3동,1119072,4565,909,343,220893110.4,0.522193334,-0.016413012,-0.017809934,-0.303741498,55.22193334,49.83586988,49.82190066,46.96258502,49.47469399
69,대방동,1120068,5813,1519,629,228416120.8,1.340478974,0.843656615,1.232127381,-0.263021003,63.40478974,58.43656615,62.32127381,47.36978997,54.38241124
70,대조동,1112058,5165,1595,431,365895161.4,0.915599892,0.95081283,0.366786162,0.481124531,59.15599892,59.5081283,53.66786162,54.81124531,56.3592276
71,대치1동,1123060,2533,17,110,521436340.7,-0.810143539,-1.274088597,-1.036115509,1.323036676,41.89856461,37.25911403,39.63884491,63.23036676,51.47009687
72,대치2동,1123079,4968,141,221,226376131,0.786431405,-1.099254771,-0.550999978,-0.274063045,57.86431405,39.00745229,44.49000022,47.25936955,47.59010177
73,대치4동,1123063,2105,657,152,395104586.4,-1.09077355,-0.371720464,-0.852558281,0.639229091,39.0922645,46.28279536,41.47441719,56.39229091,49.29838969
74,대학동,1121073,3055,1353,263,266049295.8,-0.467879835,0.60960488,-0.36744275,-0.059320431,45.32120165,56.0960488,46.3255725,49.40679569,49.37514328
75,대흥동,1114060,2068,483,180,252930291.2,-1.115033621,-0.6170518,-0.730186796,-0.130330883,38.84966379,43.829482,42.69813204,48.69669117,45.1257042
76,도곡1동,1123066,2974,157,137,686276127.8,-0.52098972,-1.076695568,-0.918114434,2.215280257,44.7901028,39.23304432,40.81885566,72.15280257,57.00256156
77,도곡2동,1123067,4895,82,159,385653349.6,0.738566941,-1.182441834,-0.82196541,0.588071506,57.38566941,38.17558166,41.7803459,55.88071506,51.32076144
78,도림동,1119075,3350,802,341,294482241.3,-0.274454944,-0.167277684,-0.026550755,0.094581206,47.25545056,48.32722316,49.73449245,50.94581206,49.59807175
79,도봉1동,1110064,5790,1603,574,153328318.3,1.325398389,0.962092432,0.99175482,-0.669455705,63.25398389,59.62092432,59.9175482,43.30544295,52.22687354
80,도봉2동,1110065,6476,1079,510,196858233,1.775193219,0.223278523,0.712048568,-0.433837304,67.75193219,52.23278523,57.12048568,45.66162696,52.66199804
81,도화동,1114075,3720,503,285,314748139.7,-0.031854234,-0.588852796,-0.271293726,0.204276311,49.68145766,44.11147204,47.28706274,52.04276311,49.58806354
82,독산1동,1118052,5900,1765,860,193589539.5,1.397522924,1.190504366,2.241692135,-0.451530064,63.97522924,61.90504366,72.41692135,45.48469936,55.42289334
83,독산2동,1118053,3524,1329,331,146444320.5,-0.160367042,0.575766075,-0.070254857,-0.706717357,48.39632958,55.75766075,49.29745143,42.93282643,47.06545119
