행정구역명,행정구역코드,고령자,수급자,중증장애,매출액,고령자_zscore,수급자_zscore,중증장애_zscore,매출액_zscore,고령자_tscore,수급자_tscore,중증장애_tscore,매출액_tscore,의료가중지수
금호2.3가동,1104072,3887,769,302,181478698.12236288,0.07764392482721602,-0.213806040984389,-0.19699675241430725,-0.5170835369796427,50.77643924827216,47.86193959015611,48.03003247585693,44.82916463020357,46.949463652515654
금호4가동,1104062,2406,442,178,349894232.25,-0.893414593926294,-0.6748597588624885,-0.7389276163625087,0.394514820439129,41.06585406073706,43.25140241137512,42.610723836374916,53.94514820439129,48.08108081588057
길동,1125074,7986,1637,708,441622380.7531645,2.7652663882780177,1.0100307391935635,1.5773897859967394,0.8910202641779318,77.65266388278017,60.10030739193564,65.77389785996739,58.91020264177932,63.724925123530355
길음1동,1108066,4615,592,375,233578127.5822785,0.5549772142617571,-0.4633672277257456,0.12204319168423068,-0.23508013055918672,55.54977214261757,45.36632772274255,51.22043191684231,47.649198694408135,49.27621511681282
길음2동,1108068,2559,516,201,121800603.68609864,-0.7930959218335951,-0.5705234435016954,-0.6384081819205035,-0.840108685127502,42.06904078166405,44.294765564983045,43.615918180794964,41.59891314872498,42.416838477166706
낙성대동,1121058,2021,444,194,131559488.53511706,-1.145850468146484,-0.6720398584473319,-0.6690010532724182,-0.7872858653995903,38.541495318535155,43.279601415526685,43.30998946727582,42.127141346004095,41.75954866783573
난곡동,1121081,5450,2148,612,199077814.46296296,1.1024680064016497,1.7305152952660676,1.1578304074561963,-0.4218231702253852,61.02468006401649,67.30515295266068,61.57830407456196,45.78176829774615,54.571509937712236
난향동,1121071,2721,654,243,121416233.81707317,-0.6868761513825021,-0.37595031485589187,-0.454850953809016,-0.8421891995115216,43.13123848617498,46.24049685144108,45.45149046190984,41.57810800488478,43.18882495641831
남가좌1동,1113069,2180,287,183,549106904.7375886,-1.0415977304815223,-0.893402041037123,-0.7170755653968554,1.4728117005776253,39.58402269518478,41.06597958962877,42.829244346031444,64.72811700577626,52.82106501336405
남가좌2동,1113070,4851,1330,434,154157110.62043795,0.7097171267707566,0.5771760254670296,0.37989739307893944,-0.6649696237224029,57.097171267707566,55.7717602546703,53.798973930789394,43.35030376277597,49.57951592084548
남영동,1103053,1543,1375,194,162177168.20357144,-1.4592643587367458,0.6406237848080525,-0.6690010532724182,-0.6215587153578122,35.40735641263254,56.40623784808052,43.30998946727582,43.78441284642188,44.25851801256102
남현동,1121063,2791,365,192,243021367.56,-0.640978719706104,-0.7834259248460166,-0.6777418736586794,-0.1839658310559228,43.59021280293896,42.165740751539836,43.222581263413204,48.16034168944077,45.5800406947543
내곡동,1122068,3286,815,389,154850677.52272728,-0.31641830999443116,-0.1489483314357878,0.18322893438805987,-0.6612154899237486,46.83581690005569,48.51051668564212,51.832289343880596,43.38784510076251,46.02946251836484
노량진1동,1120072,5869,1213,458,162221714.67049807,1.3771969188646616,0.41221185118037007,0.48478723771407517,-0.6213175945711253,63.771969188646615,54.1221185118037,54.84787237714075,43.78682405428874,50.97516065158193
노량진2동,1120052,2285,884,187,95030478.35842294,-0.9727515829669251,-0.051661767112886066,-0.6995939246243328,-0.9850098214924472,40.27248417033075,49.48338232887114,43.004060753756676,40.14990178507553,42.16454722837595
녹번동,1112051,7050,1749,566,163067289.26578072,2.1515521590050364,1.1679451624423314,0.9567915385721861,-0.6167406746561814,71.51552159005035,61.679451624423315,59.56791538572186,43.83259325343818,54.459294402218475
논현1동,1123052,2966,868,194,309029151.6103576,-0.5262351405151086,-0.07422097043413865,-0.6690010532724182,0.17332061421673214,44.73764859484891,49.257790295658616,43.30998946727582,51.73320614216732,48.847994775203176
논현2동,1123053,3155,489,192,242024484.4214744,-0.4023120749888335,-0.6085920991063091,-0.6777418736586794,-0.189361752734559,45.976879250111665,43.91407900893691,43.222581263413204,48.10638247265441,46.336353570840146
능동,1105059,1637,383,133,206931716.3692308,-1.3976306647712968,-0.7580468211096074,-0.9355960750533883,-0.37931162807954083,36.02369335228703,42.419531788903925,40.64403924946612,46.20688371920459,42.81210349930115
다산동,1102070,2762,507,201,239968147.45327103,-0.6599933699720404,-0.5832129953698999,-0.6384081819205035,-0.20049227826608756,43.4000663002796,44.167870046301005,43.615918180794964,47.99507721733912,45.85891889942753
답십리1동,1106091,4070,866,394,143641874.64067796,0.1976329247812284,-0.07704087084929521,0.20508098535371316,-0.7218864152563434,51.97632924781228,49.22959129150705,52.05080985353713,42.781135847436566,46.90736348098662
답십리2동,1106086,5562,1313,493,478791599.3681818,1.1759038970838867,0.5532068719381987,0.6377515944736482,1.0922095357703596,61.759038970838866,55.53206871938199,56.37751594473648,60.9220953577036,59.578156992003485
당산1동,1119055,3394,569,250,191997595.8902077,-0.24560512969370257,-0.4957960825000462,-0.4242580824571014,-0.4601469249462415,47.54394870306297,45.04203917499954,45.757419175428986,45.39853075053759,45.81008936843493
당산2동,1119056,4696,294,299,227968112.03076923,0.6080870994873036,-0.8835323895840749,-0.21010798299369923,-0.2654459812411897,56.08087099487304,41.164676104159255,47.89892017006301,47.3455401875881,48.0801276322544
대림1동,1119070,3181,636,285,471368738.43265307,-0.38526445750902844,-0.40132941859230103,-0.2712937256975284,1.0520311290026816,46.14735542490972,45.98670581407699,47.28706274302472,60.52031129002682,53.44818309033692
대림2동,1119071,3082,517,219,397337107.10071945,-0.450176539451363,-0.5691134932941171,-0.5597407984441518,0.6513132625137371,45.498234605486374,44.30886506705883,44.40259201555848,56.513132625137374,50.66058862234607
대림3동,1119072,4565,909,343,220893110.42450145,0.5221933344929012,-0.016413011923428915,-0.017809934495950332,-0.3037414976044306,55.22193334492901,49.83586988076571,49.821900655040494,46.9625850239557,49.474693991977716
대방동,1120068,5813,1519,629,228416120.8333333,1.340478973523543,0.8436566146993256,1.2321273807394175,-0.2630210025084259,63.404789735235425,58.43656614699326,62.32127380739418,47.36978997491574,54.38241123615305
대조동,1112058,5165,1595,431,365895161.3593429,0.9155998917191713,0.9508128304752754,0.36678616249954743,0.48112453116923637,59.15599891719171,59.50812830475275,53.667861624995474,54.81124531169236,56.35922759574069
대치1동,1123060,2533,17,110,521436340.6812749,-0.8101435393134001,-1.2740885970832603,-1.0361155094953933,1.3230366761225196,41.898564606866,37.2591140291674,39.63884490504607,63.2303667612252,51.47009687022086
대치2동,1123079,4968,141,221,226376130.96666667,0.7864314054298793,-1.0992547713435528,-0.5509999780578905,-0.27406304456967,57.864314054298795,39.00745228656447,44.49000021942109,47.2593695543033,47.59010176558783
대치4동,1123063,2105,657,152,395104586.4363208,-1.0907735501348061,-0.371720464233157,-0.8525582813839058,0.6392290911746081,39.09226449865194,46.28279535766843,41.47441718616094,56.39229091174608,49.29838969146552
대학동,1121073,3055,1353,263,266049295.79768783,-0.4678798345265452,0.6096048802413302,-0.36744274994640286,-0.0593204314200187,45.32120165473455,56.0960488024133,46.32557250053597,49.406795685799814,49.37514327683614
대흥동,1114060,2068,483,180,252930291.17611945,-1.1150336211637595,-0.6170518003517789,-0.7301867959762474,-0.13033088259922787,38.849663788362406,43.829481996482215,42.698132040237525,48.69669117400772,45.12570419909042
도곡1동,1123066,2974,157,137,686276127.8478261,-0.5209897197520916,-1.0766955680223,-0.9181144342808656,2.2152802568388013,44.79010280247908,39.233044319777,40.81885565719134,72.15280256838801,57.002561557799716
도곡2동,1123067,4895,82,159,385653349.59607846,0.7385669409673498,-1.1824418335906717,-0.8219654100319912,0.5880715063130414,57.3856694096735,38.175581664093286,41.780345899680086,55.88071506313042,51.32076144217624
도림동,1119075,3350,802,341,294482241.3036437,-0.27445494389029573,-0.16727768413430552,-0.026550754882211647,0.09458120570665669,47.25545056109704,48.32722315865694,49.734492451177886,50.94581205706657,49.598071749914894
도봉1동,1110064,5790,1603,574,153328318.28712872,1.3253983888298693,0.9620924321359017,0.9917548201172314,-0.6694557047338693,63.25398388829869,59.62092432135901,59.917548201172316,43.30544295266131,52.226873535374764
도봉2동,1110065,6476,1079,510,196858233.0177515,1.7751932192585715,0.22327852336487974,0.7120485677568693,-0.4338373042546043,67.75193219258571,52.2327852336488,57.120485677568695,45.661626957453954,52.66199804282875
도화동,1114075,3720,503,285,314748139.72068965,-0.031854233600762484,-0.5888527962002131,-0.2712937256975284,0.2042763107591016,49.681457663992376,44.11147203799787,47.28706274302472,52.042763107591014,49.588063536121695
독산1동,1118052,5900,1765,860,193589539.48378375,1.397522924321352,1.190504365763584,2.2416921353525994,-0.45153006443794996,63.97522924321352,61.905043657635844,72.41692135352599,45.4846993556205,55.42289333572997
독산2동,1118053,3524,1329,331,146444320.5480427,-0.16036704229467738,0.5757660752594512,-0.07025485681351822,-0.7067173567776134,48.39632957705322,55.75766075259451,49.297451431864815,42.93282643222386,47.06545119220972
독산3동,1118054,4671,1102,408,159819581.63104326,0.5916951596028756,0.2557073781391803,0.26626672805754237,-0.6343198425193983,55.91695159602875,52.5570737813918,52.66266728057543,43.65680157480602,48.792112428424254
독산4동,1118055,2942,919,268,125434538.9375,-0.5419714028041593,-0.002313509847646052,-0.34559069898074957,-0.8204389472775893,44.5802859719584,49.97686490152354,46.544093010192505,41.795610527224106,44.37782544204442
돈암1동,1108058,2882,621,192,532487290.8,-0.5813120585267864,-0.4224786717059753,-0.6777418736586794,1.3828531771853716,44.18687941473213,45.77521328294025,43.222581263413204,63.82853177185372,54.165126751314475
돈암2동,1108059,3495,372,231,104063675.51162793,-0.17938169256061376,-0.7735562733929686,-0.5072958761265839,-0.9361149987567916,48.20618307439386,42.26443726607032,44.92704123873416,40.63885001243209,42.97281829749889
동선동,1108083,2280,458,204,148951244.61413044,-0.9760299709438107,-0.652300555541236,-0.6252969513411116,-0.6931478967354823,40.23970029056189,43.47699444458764,43.74703048658888,43.06852103264518,42.659053413061415
동화동,1102073,1894,217,144,126157843.56716418,-1.2291215227593777,-0.992098555567603,-0.887521562928951,-0.8165238493281594,37.70878477240622,40.079014444323974,41.124784370710486,41.83476150671841,40.61356328193595
둔촌1동,1125070,39,1,1,3908359.5,-2.4454034621839296,-1.2966478004045128,-1.5124902205466348,-1.4782349524527694,25.545965378160705,37.03352199595487,34.87509779453365,35.217650475472304,33.5582718869771
둔촌2동,1125071,4118,536,337,490328580.4425428,0.22910544935933,-0.5423244393501296,-0.044032395654734276,1.1546568215948865,52.2910544935933,44.57675560649871,49.559676043452654,61.54656821594887,55.227386743261945
등촌1동,1116052,2934,309,265,282713136.68728524,-0.5472168235671763,-0.8623831364704007,-0.3587019295601416,0.030877483290937636,44.52783176432824,41.376168635296,46.412980704398585,50.30877483290938,47.10240586854696
등촌2동,1116053,3187,432,236,269260708.1195652,-0.38133039193676577,-0.6889592609382714,-0.4854438251609306,-0.04193772255778793,46.186696080632345,43.11040739061728,45.14556174839069,49.58062277442212,47.21516711524439
등촌3동,1116054,6761,5507,2006,226239710.63239077,1.9620613339410498,6.466538042521532,7.250182216680332,-0.27480145954598795,69.6206133394105,114.66538042521532,122.50182216680332,47.25198540454012,72.92928471541525
마장동,1104054,3925,838,374,198244988.3586957,0.10255967345154646,-0.11651947666148724,0.11767278149110003,-0.426331085202457,51.02559673451547,48.834805233385126,51.176727814911,45.73668914797543,48.01664581359708
마천1동,1124055,4211,1639,448,200564211.6915423,0.29008346572940186,1.01285063960872,0.44108313578276864,-0.41377761030086047,52.90083465729402,60.128506396087204,54.41083135782769,45.862223896991395,50.83512141899823
마천2동,1124056,4058,1509,424,223473827.10204083,0.18976479363670298,0.8295571126235428,0.33619329114763286,-0.2897726134608505,51.89764793636703,58.29557112623543,53.36193291147633,47.102273865391496,50.802633080994894
망우3동,1107068,3394,1921,340,102132567.62105264,-0.24560512969370257,1.4104565981457966,-0.030921165075342302,-0.946567685263208,47.54394870306297,64.10456598145797,49.690788349246574,40.53432314736792,47.20559890470752
망우본동,1107073,6205,2343,617,344063514.97868216,1.5975045909113728,2.0054555857438334,1.1796824584218495,0.362954357120595,65.97504590911373,70.05455585743833,61.7968245842185,53.62954357120595,59.99393131550474
망원1동,1114069,3375,722,295,292595710.09774435,-0.2580630040058678,-0.2800737007405684,-0.22758962376622185,0.08436980354933696,47.41936995994132,47.19926299259431,47.72410376233778,50.84369803549337,49.131107003731174
망원2동,1114070,3124,529,260,287724753.3178808,-0.4226380804455241,-0.5521940908031776,-0.3805539805257948,0.058004324719954065,45.77361919554476,44.47805909196823,46.19446019474205,50.58004324719954,48.002713328145916
면목2동,1107052,4566,1715,406,227463249.31864408,0.5228490120882784,1.1200068553846698,0.25752590767128103,-0.26817869839509834,55.22849012088278,61.2000685538467,52.57525907671281,47.318213016049015,51.986723913713334
면목3.8동,1107072,5013,1970,449,303175096.7948718,0.8159368972218496,1.4795441583171327,0.44545354597589926,0.1416338296117451,58.159368972218495,64.79544158317132,54.45453545975899,51.41633829611745,55.48606215202729
면목4동,1107054,3826,1807,567,90900801.46405227,0.037647591509211896,1.2497222744818721,0.9611619487653168,-1.007362906040607,50.37647591509212,62.49722274481872,59.61161948765317,39.92637093959393,48.426947069115315
면목5동,1107055,2225,813,218,40192996.37142857,-1.0120922386895521,-0.15176823185094437,-0.5641112086372824,-1.2818337383791152,39.87907761310448,48.48231768149056,44.35888791362718,37.18166261620885,40.59591341418957
면목7동,1107057,4315,1137,360,451616646.2395833,0.35827393564862203,0.3050556354044203,0.05648703878727083,0.9451171504789407,53.58273935648622,53.050556354044204,50.56487038787271,59.45117150478941,56.04658978413377
면목본동,1107071,6099,2540,545,191536158.86010364,1.5280027658013984,2.283215776636756,0.8650129245164423,-0.46264458788971,65.28002765801398,72.83215776636756,58.65012924516442,45.3735541211029,55.819676356914115
명동,1102055,764,93,51,226401754.04258677,-1.9700372055355198,-1.1669323813073105,-1.293969710890102,-0.273924352173854,30.299627944644804,38.330676186926894,37.06030289109898,47.260756478261456,41.03071002215927
명일1동,1125053,4033,375,338,203879272.7010989,0.17337285375227507,-0.7693264227702338,-0.03966198546160361,-0.3958338725886105,51.73372853752275,42.306735772297664,49.603380145383966,46.04166127411389,46.97167762288659
명일2동,1125054,2590,179,182,453980397.5765306,-0.7727699163769045,-1.0456766634555779,-0.721445975589986,0.9579116462317762,42.272300836230954,39.54323336544422,42.78554024410014,59.579116462317764,50.51227676787033
목1동,1115051,3282,345,251,277292219.3450882,-0.3190410203759397,-0.8116249289975823,-0.4198876722639707,0.0015351819976103386,46.8095897962406,41.883750710024174,45.80112327736029,50.015351819976104,47.424390653160444
목2동,1115052,4183,1119,373,147455530.57142857,0.2717244930588426,0.2796765316680112,0.11330237129796937,-0.7012438866425763,52.71724493058843,52.79676531668011,51.13302371297969,42.98756113357424,47.668291447446286
목3동,1115053,3377,1094,343,303089565.84615386,-0.25675164881511353,0.24442777647855402,-0.017809934495950332,0.1411708683251653,47.432483511848865,52.44427776478554,49.821900655040494,51.41170868325165,50.59783723471313
목4동,1115054,3279,997,299,146740255.27540985,-0.321008053162071,0.10766260634346027,-0.21010798299369923,-0.7051155234742401,46.78991946837929,51.0766260634346,47.89892017006301,42.9488447652576,45.75818085866359
목5동,1115071,4699,49,245,374621059.4047619,0.6100541322734349,-1.228970190440755,-0.4461101334227547,0.5283560075672459,56.10054132273435,37.71029809559245,45.53889866577245,55.28356007567246,51.15355280233334
무악동,1101057,1424,206,125,1158702898.2238803,-1.5372899925866226,-1.0076080078509642,-0.9705593565984335,4.772428385164536,34.62710007413378,39.92391992149036,40.29440643401566,97.72428385164537,67.81104873116222
묵1동,1107064,5945,1265,492,195773030.71826625,1.4270284161133224,0.48552926197444096,0.6333811842805175,-0.4397112792344187,64.27028416113322,54.85529261974441,56.333811842805176,45.60288720765581,52.296903124860464
묵2동,1107065,3612,1100,294,234760014.71698117,-0.1026674139014911,0.25288747772402376,-0.2319600339593525,-0.22868282061844925,48.97332586098509,52.52887477724024,47.68039966040647,47.713171793815505,48.803854112672624
문래동,1119076,4695,276,289,230431408.1648045,0.6074314218919264,-0.908911493320484,-0.2538120849250058,-0.2521126701469724,56.07431421891926,40.91088506679516,47.461879150749944,47.478873298530274,48.04643927358189
문정1동,1124068,2965,402,234,354040609.7263158,-0.5268908181104857,-0.73125776716562,-0.49418464554719194,0.4169583017737133,44.731091818895145,42.6874223283438,45.05815354452808,54.16958301773713,49.13357797317377
문정2동,1124069,4003,96,187,584306554.5081967,0.15370252589096156,-1.1627025306845755,-0.6995939246243328,1.6633401044972058,51.537025258909615,38.37297469315425,43.004060753756676,66.63340104497206,55.71488373978953
미성동,1121083,5877,1352,506,137181789.11445785,1.3824423396276784,0.6081949300337519,0.6945669269843467,-0.7568535184098086,63.824423396276785,56.08194930033752,56.945669269843464,42.43146481590191,50.91316687349581
미아동,1109070,4524,1280,369,335674890.76623374,0.49531055308243943,0.5066785150881152,0.09582073052544673,0.31754847403099923,54.953105530824395,55.06678515088115,50.95820730525447,53.17548474030999,53.58482679088088
반포1동,1122057,4044,458,192,296601992.4469914,0.18058530730142336,-0.652300555541236,-0.6777418736586794,0.10605497901635526,51.805853073014234,43.47699444458764,43.222581263413204,51.060549790163556,48.90274219541411
반포2동,1122058,1980,7,79,191194706.2285714,-1.1727332495569458,-1.288188099159043,-1.1715982254824437,-0.4644928001680692,38.272667504430544,37.118119008409565,38.28401774517556,45.35507199831931,41.61324254466439
반포3동,1122059,3085,41,144,227752498.8131488,-0.4482095066652317,-1.2402497921013813,-0.887521562928951,-0.2666130508707145,45.51790493334768,37.59750207898619,41.124784370710486,47.33386949129285,44.490676642477354
반포4동,1122060,2865,117,124,350956250.3364486,-0.5924585776481973,-1.1330935763254315,-0.9749297667915642,0.40026330408210375,44.075414223518024,38.66906423674568,40.25070233208436,54.00263304082104,47.614823398055165
반포본동,1122056,282,10,12,248238089.5675676,-2.28607380650729,-1.2839582485363081,-1.4644157084221976,-0.1557287967595207,27.139261934927102,37.16041751463692,35.35584291577803,48.44271203240479,40.57176183272153
발산1동,1116067,4874,1546,587,441864254.76512456,0.7247977114644303,0.8817252703039393,1.0485701526279299,0.8923294780408166,57.2479771146443,58.817252703039394,60.4857015262793,58.92329478040817,58.76497472694975
방배1동,1122062,2901,320,159,315305590.4086022,-0.5688541842146212,-0.8468736841870395,-0.8219654100319912,0.20729367571937835,44.311458157853785,41.531263158129605,41.780345899680086,52.07293675719379,47.38927430030034
방배2동,1122063,3523,493,229,154714926.72413793,-0.1610227198900545,-0.602952298275996,-0.5160366965128452,-0.6619502808422546,48.389772801099454,43.97047701724004,44.83963303487155,43.380497191577454,44.667990763384566
방배3동,1122064,3398,137,143,291002769.5308642,-0.2429824193121941,-1.1048945721738659,-0.8918919731220817,0.07574754663131913,47.57017580687806,38.95105427826134,41.08108026877918,50.75747546631319,46.844342426825335
방배4동,1122065,3559,335,225,296587905.861244,-0.13741832645647828,-0.8257244310733651,-0.5335183372853678,0.1059787312492152,48.625816735435215,41.742755689266346,44.66481662714632,51.059787312492155,48.14314132734802
