,EMD_CD,EMD_KOR_NM,SIG_KOR_NM,약국명,경도,위도,geometry
0,11170109,청파동1가,용산구,가정약국,126.9696946532908,37.54932667929581,POINT (953156.9489127877 1950130.8941258732)
1,11470102,목동,양천구,가정약국,126.8720453427675,37.54670960810209,POINT (944529.3459126573 1949893.6791807583)
2,11590108,대방동,동작구,가족건강약국,126.9317558309104,37.511447168121,POINT (949780.3094586527 1945947.9459516613)
3,11305101,미아동,강북구,가족사랑약국,127.03207930594807,37.62469690278515,POINT (958709.2135955008 1958463.6050589143)
4,11410120,남가좌동,서대문구,가좌진약국,126.9169246599,37.5690980464,POINT (948509.2260719434 1952352.0358674354)
5,11380114,진관동,은평구,가톨릭정문약국,126.91664329577098,37.63463227828559,POINT (948529.5497241645 1959622.9538913583)
6,11710107,가락동,송파구,감람약국,127.13493765634236,37.4940937356484,POINT (967729.5139013195 1943933.642204798)
7,11680107,신사동,강남구,감마약국,127.0384784246,37.528021051,POINT (959221.2078335279 1947735.105380036)
8,11710104,송파동,송파구,감초당약국,127.10799783341838,37.50704500792004,POINT (965354.0844657244 1945380.0760761937)
9,11230104,전농동,동대문구,감초당온누리약국,127.06860786008056,37.58249972071713,POINT (961911.114910938 1953766.5776499594)
10,11500103,화곡동,강서구,감초약국,126.847290144095,37.53132999995104,POINT (942330.7161853709 1948202.2788542644)
11,11680105,삼성동,강남구,강남구청역약국,127.04130142966,37.5171892352971,POINT (959464.7823908649 1946532.1602846622)
12,11680118,도곡동,강남구,강남굿모닝약국,127.03586946854884,37.4851916952661,POINT (958967.2502453325 1942984.5917769168)
13,11680111,세곡동,강남구,강남리더스약국,127.101226214382,37.4657580150675,POINT (964736.1914845128 1940802.0841995121)
14,11680106,대치동,강남구,강남메디칼약국,127.0608994403609,37.49805503690625,POINT (961186.7630094321 1944401.0790862932)
15,11650101,방배동,서초구,강남메디칼약국,126.9930618216,37.4891829962,POINT (955185.0808569979 1943446.9182852607)
16,11680101,역삼동,강남구,강남미소약국,127.0393552042,37.5000319762,POINT (959283.475094275 1944629.5101170451)
17,11680101,역삼동,강남구,강남미약국,127.02877320469663,37.496564351083066,POINT (958346.1975735272 1944249.4299130768)
18,11680106,대치동,강남구,강남백세약국,127.0595469672,37.4981097868,POINT (961067.2422098975 1944407.7118188539)
19,11680106,대치동,강남구,강남보선약국,127.0629902287,37.4991820003,POINT (961372.1546778219 1944525.2481611348)
20,11680101,역삼동,강남구,강남봄약국,127.032179999229,37.4934315723756,POINT (958645.6134263158 1943900.3662201057)
21,11650101,방배동,서초구,강남사랑약국,126.98672739170458,37.47687106368012,POINT (954617.6471909888 1942084.0238971233)
22,11680101,역삼동,강남구,강남샘약국,127.045734972,37.4950921633,POINT (959844.742667089 1944078.7290382497)
23,11680103,개포동,강남구,강남세계로약국,127.04758143371768,37.47521158662983,POINT (959997.3647600332 1941872.3267669114)
24,11680101,역삼동,강남구,강남씨티약국,127.0271595299,37.499797544,POINT (958205.3589800347 1944608.8473079)
25,11650108,서초동,서초구,강남약국,127.02445563147955,37.50347063453143,POINT (957968.4175057848 1945017.5576228611)
26,11740108,성내동,강동구,강남약국,127.13574399002972,37.52761349958293,POINT (967815.1879529784 1947652.163715935)
27,11545102,독산동,금천구,강남약국,126.9034750508142,37.47945973311692,POINT (947258.4262043602 1942414.5980573017)
28,11650108,서초동,서초구,강남엘약국,127.026213341634,37.49858941826,POINT (958121.0496368904 1944475.2340648198)
29,11680101,역삼동,강남구,강남역스타약국,127.0292847769,37.4976670574,POINT (958392.0297731382 1944371.5418142702)
30,11680106,대치동,강남구,강남온누리약국,127.05083230469889,37.50115565458079,POINT (960298.5397504019 1944749.271605796)
31,11680105,삼성동,강남구,강남우리약국,127.0495513661269,37.50506859991256,POINT (960187.3961845671 1945183.9289634987)
32,11680108,논현동,강남구,강남정성약국,127.034960089098,37.51361691059559,POINT (958902.43560861 1946138.583833808)
33,11680101,역삼동,강남구,강남제일약국,127.034389865201,37.50035616396546,POINT (958844.7627843979 1944667.6363629098)
34,11680118,도곡동,강남구,강남조은약국,127.03778434301532,37.4853697398066,POINT (959136.6379850222 1943003.5117824418)
35,11680101,역삼동,강남구,강남차차약국,127.029506833445,37.499852933462,POINT (958412.8704320559 1944613.9526255114)
36,11680108,논현동,강남구,강남퍼스트약국,127.0203424,37.5160782711,POINT (957611.9923611128 1946418.1422874664)
37,11680108,논현동,강남구,강남프라자약국,127.0383413338,37.5165747578,POINT (959202.8625596364 1946465.2672642868)
38,11680108,논현동,강남구,강남허브약국,127.0410391332477,37.51679913320769,POINT (959441.3919789343 1946488.9938870985)
39,11740105,길동,강동구,강동더본약국,127.139314330701,37.5368399179472,POINT (968134.5816923796 1948674.5621111193)
40,11740109,천호동,강동구,강동메디칼약국,127.12502568579208,37.5425023899493,POINT (966874.7264406789 1949307.7171447338)
41,11740107,암사동,강동구,강동미래약국,127.12811317648688,37.5509360017334,POINT (967151.1777317938 1950242.2936179552)
42,11560109,영등포동8가,영등포구,365마트약국,126.904683469106,37.5278167645388,POINT (947399.2073405175 1947778.8576806583)
43,11740108,성내동,강동구,강동보건약국,127.12461846664074,37.528814931263405,POINT (966832.6909935282 1947789.3201840406)
44,11740101,명일동,강동구,강동새경희약국,127.15546283745088,37.55274211724534,POINT (969567.719889429 1950433.4663025935)
45,11680118,도곡동,강남구,강남맑은약국,127.0321988392,37.4893770339,POINT (958645.0434611955 1943450.5334644392)
46,11740105,길동,강동구,강동소망약국,127.1351063207,37.5353814932,POINT (967762.1884203936 1948514.1929980945)
47,11740105,길동,강동구,강동솔약국,127.139588829365,37.5375121901099,POINT (968159.1187032536 1948749.0536354699)
48,11740105,길동,강동구,강동엠약국,127.143907731631,37.5350394377715,POINT (968539.6388744268 1948473.2632715653)
49,11740101,명일동,강동구,강동온누리약국,127.143242072187,37.5456635684848,POINT (968485.300368399 1949652.1693119023)
50,11740105,길동,강동구,강동우리약국,127.13554110134103,37.53561815539854,POINT (967800.7025319854 1948540.3002680612)
51,11740101,명일동,강동구,강동원약국,127.155947723578,37.5533185664951,POINT (969610.7831158701 1950497.263117553)
52,11740108,성내동,강동구,강동웰빙약국,127.136192062668,37.5343360769717,POINT (967857.663755061 1948397.8388212651)
53,11740108,성내동,강동구,강동태평양약국,127.13527563557126,37.52634903516902,POINT (967773.2611340815 1947512.039675099)
54,11740109,천호동,강동구,강동포도약국,127.13477850597933,37.53680544768918,POINT (967733.8399170237 1948672.284501156)
55,11740108,성내동,강동구,강동프라자약국,127.12326975506056,37.53705861609,POINT (966717.1870602703 1948704.3830775572)
56,11740107,암사동,강동구,강동한우리약국,127.12794479697116,37.550406399685095,POINT (967136.0721509267 1950183.596189808)
57,11740109,천호동,강동구,강동해오름약국,127.14300831220342,37.54749532939716,POINT (968465.4224420004 1949855.4707194243)
58,11590109,신대방동,동작구,강림약국,126.90856211712637,37.49106155539128,POINT (947716.2878375164 1943698.912312044)
59,11215103,구의동,광진구,강변그랜드약국,127.09615979283744,37.53678914848484,POINT (964321.977389605 1948684.4275485545)
60,11305101,미아동,강북구,강북김약국,127.0259544037,37.62527554794,POINT (958169.0541738139 1958530.5157938886)
61,11305101,미아동,강북구,강북다모아약국,127.0295432799152,37.61631841523258,POINT (958480.7661536131 1957535.1652163682)
62,11305101,미아동,강북구,강북메디칼약국,127.02677378590168,37.62585141129103,POINT (958241.6810519181 1958594.0406126645)
63,11230105,답십리동,동대문구,강북열린약국,127.05772385945151,37.574614418990784,POINT (960946.0111086624 1952896.2117196342)
64,11305103,수유동,강북구,강북우리약국,127.02296924043912,37.64247282890913,POINT (957915.3344991417 1960439.8227033026)
65,11305101,미아동,강북구,강북제일약국,127.0271043542005,37.62230428423925,POINT (958268.8682082817 1958200.354188225)
66,11740110,강일동,강동구,강빛약국,127.173328226781,37.5717706860351,POINT (971153.076449352 1952538.943556742)
