학교급,설립구분,학교,자치구,남녀공학구분,개교일자,우편번호,주소,전화번호,팩스번호,홈페이지
초등학교,공립,종달초등학교,제주시,남여공학,19461209,63364,제주특별자치도 제주시 구좌읍 종달로7길 5,647833689,647842441,http://jongdal.jje.es.kr
초등학교,공립,추자초등학교,제주시,남여공학,19250901,63000,제주특별자치도 제주시 추자면 대서3길 10,647428431,647423648,http://chuja.jje.es.kr
초등학교,공립,추자초등학교신양분교장,제주시,남여공학,19250630,63001,제주특별자치도 제주시 추자면 추자로 553-10,647428421,647428422,http://chuja.jje.es.kr
초등학교,공립,평대초등학교,제주시,남여공학,19451208,63360,제주특별자치도 제주시 구좌읍 일주동로 2979,647506800,647506805,http://pyungdae.jje.es.kr
초등학교,공립,하귀일초등학교,제주시,남여공학,20120301,63054,제주특별자치도 제주시 애월읍 하귀9길 42,647950800,647950899,http://hagwiil.jje.es.kr
초등학교,공립,하귀초등학교,제주시,남여공학,19400901,63051,제주특별자치도 제주시 애월읍 하귀로 44,647134005,647137655,http://hagwi.jje.es.kr
초등학교,공립,하도초등학교,제주시,남여공학,19210405,63363,제주특별자치도 제주시 구좌읍 일주동로 3378,647809671,647809666,http://hado.jje.es.kr/
초등학교,공립,한동초등학교,제주시,남여공학,19680316,63359,제주특별자치도 제주시 구좌읍 일주동로 2831,647832354,647833467,http://handong.jje.es.kr
초등학교,공립,한라초등학교,제주시,남여공학,20010302,63090,제주특별자치도 제주시 연화로 42,647409500,647409699,http://halla.jje.es.kr
초등학교,공립,한림초등학교,제주시,남여공학,19230901,63032,제주특별자치도 제주시 한림읍 한림로4길 16,647973000,647973080,http://hallim.jje.es.kr
초등학교,공립,한림초등학교비양분교장,제주시,남여공학,19530409,63033,제주특별자치도 제주시 한림읍 비양도길 270,647968479,647967816,http://hallim.jje.es.kr
초등학교,공립,한천초등학교,제주시,남여공학,19841110,63174,제주특별자치도 제주시 남성로11길 22,647507305,647507399,http://hancheon.jje.es.kr
초등학교,공립,함덕초등학교,제주시,남여공학,19370901,63333,제주특별자치도 제주시 조천읍 일주동로 1231,647804500,647804566,http://hamdeok.jje.es.kr
초등학교,공립,함덕초등학교선인분교장,제주시,남여공학,19740309,63341,제주특별자치도 제주시 조천읍 선진길 7-18,647838612,647838622,http://hamdeok.jje.es.kr
초등학교,공립,함덕초등학교선흘분교장,제주시,남여공학,19360405,63340,제주특별자치도 제주시 조천읍 선흘동1길 41,647838526,647848526,http://hamdeok.jje.es.kr
초등학교,공립,해안초등학교,제주시,남여공학,19610401,63077,제주특별자치도 제주시 해안마을길 76,647464006,647468980,http://haeahn.jje.es.kr
초등학교,공립,화북초등학교,제주시,남여공학,19260715,63293,제주특별자치도 제주시 일주동로 157,647207500,647207599,http://hwabuk.jje.es.kr
중학교,국립,제주대학교사범대학부설중학교,제주시,남여공학,19840306,63151,제주특별자치도 제주시 용담로7길 33,647546200,647546210,http://jnum.jje.ms.kr
중학교,공립,고산중학교,제주시,남여공학,19540402,63008,제주특별자치도 제주시 한경면 용고로 70,647958260,647725977,http://gosan.jje.ms.kr/
중학교,공립,김녕중학교,제주시,남여공학,19471003,63357,제주특별자치도 제주시 구좌읍 김녕로 118-20,647860800,647860808,http://gimnyeong.jje.ms.kr
중학교,공립,노형중학교,제주시,남여공학,20130305,63088,제주특별자치도 제주시 노형1길 28,647408901,647408906,http://nohyeong.jje.ms.kr
