"동별(1)","동별(2)",항목,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4
"동별(1)","동별(2)",항목,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"동별(1)","동별(2)",항목,소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"합계","동대문구",한국인,337982,8509,10768,10903,12260,26220,30391,24793,23868,24637,24302,27109,24988,26500,21228,15057,12406,8467,3996,1237,276,67,337330,8355,10683,10902,12008,26086,30379,24951,23639,24752,23938,27152,24901,26384,21198,15270,12382,8748,4011,1250,273,68
"합계","동대문구",외국인,14610,123,156,90,288,5454,3980,1296,750,497,402,496,538,311,130,47,21,13,13,4,1,-,15413,146,157,86,401,5968,4088,1325,762,518,399,501,539,296,129,47,21,13,12,4,1,0
"합계","중랑구",계,393600,9649,11962,12107,13382,22416,32827,30851,28064,28514,27949,34189,33735,35104,26441,17960,13538,9139,4086,1312,308,67,393147,9502,11795,12120,13253,22066,32809,31171,27768,28676,27602,34134,33623,35163,26368,18359,13592,9293,4156,1330,296,71
"합계","중랑구",한국인,389043,9501,11814,12004,13302,22019,32208,30161,27506,28148,27652,33791,33347,34874,26363,17920,13528,9137,4084,1309,308,67,388509,9344,11642,12015,13164,21642,32179,30472,27216,28299,27298,33731,33226,34944,26294,18322,13582,9291,4154,1327,296,71
"합계","중랑구",외국인,4557,148,148,103,80,397,619,690,558,366,297,398,388,230,78,40,10,2,2,3,-,-,4638,158,153,105,89,424,630,699,552,377,304,403,397,219,74,37,10,2,2,3,0,0
"합계","성북구",계,442680,11262,16154,17387,19704,35173,36009,29918,30181,32898,35455,38566,31937,32317,25193,18016,14714,10718,4924,1705,376,73,443823,11174,15979,17396,19722,35379,36303,30187,29977,33154,34990,38860,32078,32367,25148,18256,14733,10968,5005,1685,387,75
"합계","성북구",한국인,433150,11124,16022,17296,19343,32069,33867,28894,29503,32412,35104,38215,31645,32121,25097,17972,14694,10705,4917,1703,375,72,433559,11027,15844,17301,19225,31839,34062,29129,29269,32673,34633,38515,31790,32180,25051,18212,14713,10955,4998,1683,386,74
"합계","성북구",외국인,9530,138,132,91,361,3104,2142,1024,678,486,351,351,292,196,96,44,20,13,7,2,1,1,10264,147,135,95,497,3540,2241,1058,708,481,357,345,288,187,97,44,20,13,7,2,1,1
"합계","강북구",계,300824,5579,8241,9629,11035,18920,22936,19071,18338,20670,23085,26986,24944,26429,21090,16229,13153,9013,3919,1228,282,47,300246,5475,8139,9596,10927,18811,22974,19175,18079,20883,22674,27001,24876,26319,21030,16369,13134,9295,3934,1238,267,50
"합계","강북구",한국인,297384,5505,8169,9594,10991,18329,22421,18616,17981,20396,22880,26772,24669,26238,21021,16191,13137,9008,3915,1225,281,45,296653,5398,8069,9560,10855,18135,22433,18722,17713,20601,22467,26777,24606,26141,20960,16330,13117,9290,3930,1235,266,48
"합계","강북구",외국인,3440,74,72,35,44,591,515,455,357,274,205,214,275,191,69,38,16,5,4,3,1,2,3593,77,70,36,72,676,541,453,366,282,207,224,270,178,70,39,17,5,4,3,1,2
"합계","도봉구",계,318100,6716,9986,11317,12742,19056,22449,19695,19751,22001,24046,29020,27109,29090,22767,15446,12137,8817,4132,1420,313,90,316916,6555,9768,11267,12576,18766,22339,19866,19450,22136,23561,28979,26948,29012,22752,15777,12133,9055,4162,1407,323,84
"합계","도봉구",한국인,316098,6674,9953,11292,12713,18812,22138,19383,19515,21821,23889,28856,26968,29013,22734,15435,12134,8814,4131,1420,313,90,314791,6515,9736,11243,12513,18461,22013,19556,19208,21952,23406,28808,26804,28937,22718,15764,12130,9052,4161,1407,323,84
"합계","도봉구",외국인,2002,42,33,25,29,244,311,312,236,180,157,164,141,77,33,11,3,3,1,-,-,-,2125,40,32,24,63,305,326,310,242,184,155,171,144,75,34,13,3,3,1,0,0,0
"합계","노원구",계,514445,11917,18225,23309,27301,36943,34746,31458,32140,37943,43601,47812,39392,40232,31250,21233,16369,11878,5976,2173,459,88,512162,11746,17854,23012,26980,36565,34570,31673,31608,37875,42881,47942,39296,40107,31190,21659,16332,12118,6045,2154,465,90
"합계","노원구",한국인,510486,11862,18178,23272,27207,35877,33939,30977,31780,37686,43403,47623,39228,40121,31200,21211,16357,11872,5974,2173,458,88,508066,11686,17802,22974,26849,35440,33756,31199,31246,37619,42680,47750,39117,39992,31136,21637,16320,12112,6043,2154,464,90
"합계","노원구",외국인,3959,55,47,37,94,1066,807,481,360,257,198,189,164,111,50,22,12,6,2,-,1,-,4096,60,52,38,131,1125,814,474,362,256,201,192,179,115,54,22,12,6,2,0,1,0
"합계","은평구",계,476013,11334,15889,17545,19563,28058,37318,34070,33413,36365,37996,41515,36490,38039,29732,21504,17202,12178,5579,1749,403,71,477460,11376,15747,17635,19549,27858,37459,34558,33194,36665,37555,41932,36609,38182,29629,21929,17263,12446,5675,1721,405,73
"합계","은평구",한국인,472259,11251,15804,17482,19453,27845,36897,33554,32907,35972,37726,41171,36170,37835,29620,21453,17174,12155,5572,1746,401,71,473674,11291,15666,17568,19441,27633,37030,34032,32689,36272,37287,41596,36275,37982,29514,21877,17236,12423,5668,1718,403,73
"합계","은평구",외국인,3754,83,85,63,110,213,421,516,506,393,270,344,320,204,112,51,28,23,7,3,2,-,3786,85,81,67,108,225,429,526,505,393,268,336,334,200,115,52,27,23,7,3,2,0
"합계","서대문구",계,317075,7985,10897,10811,12427,25509,29481,23652,22293,22924,23360,26519,23179,23026,17585,12651,10834,8224,4053,1277,312,76,317515,7898,10804,10802,12395,25926,29631,23723,22110,23078,23109,26618,23115,23044,17575,12795,10788,8356,4081,1287,303,77
"합계","서대문구",한국인,305866,7905,10749,10636,12071,22000,27047,22607,21582,22308,22924,26074,22778,22687,17358,12526,10760,8177,4022,1272,308,75,305623,7812,10653,10631,11958,21933,27077,22658,21391,22476,22675,26173,22721,22706,17351,12674,10715,8311,4051,1282,299,76
"합계","서대문구",외국인,11209,80,148,175,356,3509,2434,1045,711,616,436,445,401,339,227,125,74,47,31,5,4,1,11892,86,151,171,437,3993,2554,1065,719,602,434,445,394,338,224,121,73,45,30,5,4,1
"합계","마포구",계,378629,10073,13310,13715,14439,27392,38499,34043,31288,30362,30301,30979,25151,23909,17984,12800,10750,7981,3893,1376,310,74,378290,9835,13105,13624,14425,27449,38666,34356,30923,30462,29910,31008,25181,23867,17928,12973,10711,8104,4001,1384,304,74
"합계","마포구",한국인,368331,9944,13097,13564,14190,25063,36363,32653,30385,29626,29837,30527,24699,23612,17775,12707,10711,7948,3882,1370,307,71,367584,9707,12894,13476,14127,24764,36473,32986,30024,29730,29452,30559,24724,23582,17718,12879,10672,8073,3992,1379,302,71
"합계","마포구",외국인,10298,129,213,151,249,2329,2136,1390,903,736,464,452,452,297,209,93,39,33,11,6,3,3,10706,128,211,148,298,2685,2193,1370,899,732,458,449,457,285,210,94,39,31,9,5,2,3
