사업장명,업종구분대분류,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,지번주소,도로명주소,도로명우편번호,데이터갱신일시
지에스25제주노형중점,안전상비의약품 판매업소,20151228,,영업/정상,,,,,,제주특별자치도 제주시 노형동 3810번지 10호,제주특별자치도 제주시 노형5길 42 (노형동),63088,2018-08-31 23:59:59.0
세븐일레븐 이도센터점,안전상비의약품 판매업소,20170524,,영업/정상,,,,,,제주특별자치도 제주시 이도이동 409번지 7호,제주특별자치도 제주시 청귤로3길 54 (이도이동),63218,2018-08-31 23:59:59.0
(주)코리아세븐 제주인화로점,안전상비의약품 판매업소,20121119,,영업/정상,,,,,,제주특별자치도 제주시 일도이동 323번지 24호,제주특별자치도 제주시 동광로21길 6 (일도이동),63251,2018-08-31 23:59:59.0
GS25 연동바다점,안전상비의약품 판매업소,20121112,,영업/정상,,,,,,제주특별자치도 제주시 연동 261번지 39호,제주특별자치도 제주시 제원길 14 (연동),63129,2018-08-31 23:59:59.0
씨유 연동대로점,안전상비의약품 판매업소,20121113,,영업/정상,,,,,,제주특별자치도 제주시 연동 290번지 1호 성남빌라건물 1층 102호,"제주특별자치도 제주시 연삼로 12, 1층 102호 (연동, 성남빌라건물)",63118,2018-08-31 23:59:59.0
씨유 제주아산점,안전상비의약품 판매업소,20121113,,영업/정상,,,,,,제주특별자치도 제주시 연동 299번지,제주특별자치도 제주시 신대로20길 17 (연동),63136,2018-08-31 23:59:59.0
GS25외도해피점,안전상비의약품 판매업소,20180530,,영업/정상,,,,,,제주특별자치도 제주시 외도일동 477번지 1호,"제주특별자치도 제주시 우정로5길 8, 1층 (외도일동)",63070,2018-08-31 23:59:59.0
세븐일레븐구남센터,안전상비의약품 판매업소,20161128,,영업/정상,,,,,,,"제주특별자치도 제주시 구남동4길 38, 1층 (이도이동)",63232,2018-08-31 23:59:59.0
씨유제주삼성로점,안전상비의약품 판매업소,20161208,,영업/정상,,,,,,,"제주특별자치도 제주시 삼성로 100, 1층 (일도이동, 금영골든빌1차)",63271,2018-08-31 23:59:59.0
세븐일레븐제주오라로점,안전상비의약품 판매업소,20161213,,영업/정상,,,,,,,"제주특별자치도 제주시 오라로 46, 1층 (오라삼동)",63148,2018-08-31 23:59:59.0
세븐일레븐 제주송당마을점,안전상비의약품 판매업소,20171101,,영업/정상,,,,,,,제주특별자치도 제주시 구좌읍 중산간동로 2231,63355,2018-11-15 02:35:40.0
씨유제주사리탑교차로점,안전상비의약품 판매업소,20171113,,영업/정상,,,,,,,"제주특별자치도 제주시 조천읍 조천우회로 223, 1층",63335,2018-08-31 23:59:59.0
GS25제주용흥점,안전상비의약품 판매업소,20161228,,영업/정상,,,,,,,제주특별자치도 제주시 용담로 89 (용담이동),63152,2018-08-31 23:59:59.0
씨유제주 애월한담점,안전상비의약품 판매업소,20160308,,영업/정상,,,,,,,제주특별자치도 제주시 애월읍 애월로 37 (제주하늘푸른바다),63043,2018-08-31 23:59:59.0
세븐일레븐 제주애월로드점,안전상비의약품 판매업소,20161111,,영업/정상,,,,,,,제주특별자치도 제주시 애월읍 중산간서로 6617,63060,2018-08-31 23:59:59.0
세븐일레븐 제주화북진남점,안전상비의약품 판매업소,20170526,,영업/정상,,,,,,제주특별자치도 제주시 화북일동 1967번지 28호,제주특별자치도 제주시 진남로10길 27 (화북일동),63289,2018-08-31 23:59:59.0
씨유 제주거로길점,안전상비의약품 판매업소,20170602,,영업/정상,,,,,,제주특별자치도 제주시 화북이동 4750번지 5호,제주특별자치도 제주시 거로길 21 (화북이동),63296,2018-08-31 23:59:59.0
GS25 연동제원점,안전상비의약품 판매업소,20121112,,영업/정상,,,,,,제주특별자치도 제주시 연동 251번지 61호,제주특별자치도 제주시 연동3길 14 (연동),63129,2018-08-31 23:59:59.0
씨유제주금능점,안전상비의약품 판매업소,20170522,,영업/정상,,,,,,,제주특별자치도 제주시 한림읍 금능길 64,63010,2018-08-31 23:59:59.0
지에스25제주남녕점,안전상비의약품 판매업소,20190718,,영업/정상,,,,,,제주특별자치도 제주시 연동 1956번지 2호,"제주특별자치도 제주시 남녕로 28, 1층 (연동)",63128,2019-07-20 02:21:41.0
씨유제주노형길점,안전상비의약품 판매업소,20190718,,영업/정상,,,,,,제주특별자치도 제주시 노형동 3802번지 5호,"제주특별자치도 제주시 노형5길 15, 1층 (노형동)",63088,2019-07-20 02:21:41.0
씨유제주아연로점,안전상비의약품 판매업소,20190704,,영업/정상,,,,,,제주특별자치도 제주시 오라이동 3295번지 5호,"제주특별자치도 제주시 아연로 114, 1층 (오라이동)",63147,2019-07-06 02:21:29.0
씨유제주송우수자인점,안전상비의약품 판매업소,20190704,,영업/정상,,,,,,제주특별자치도 제주시 오라이동 1517번지 1호,"제주특별자치도 제주시 연사2길 72, 104동 B102호 (오라이동)",63145,2019-07-06 02:21:29.0
지에스25노형조이점,안전상비의약품 판매업소,20190821,,영업/정상,,,,,,제주특별자치도 제주시 노형동 1054번지 3호,"제주특별자치도 제주시 월랑로10길 2, 1층 102호 (노형동)",63097,2019-08-23 02:22:20.0
GS25 애월모닝시티점,안전상비의약품 판매업소,20190821,,영업/정상,,,,,,제주특별자치도 제주시 애월읍 하귀1리 117번지 1호,"제주특별자치도 제주시 애월읍 하귀9길 2, 1층 111호",63054,2019-08-23 02:22:20.0
지에스25제주신대로점,안전상비의약품 판매업소,20191010,,영업/정상,,,,,,제주특별자치도 제주시 연동 315번지 7호,제주특별자치도 제주시 선덕로4길 22 (연동),63134,2019-10-12 00:22:47.0
세븐일레븐제주정든로점,안전상비의약품 판매업소,20191209,,영업/정상,,,,,,제주특별자치도 제주시 이도이동 425번지 14호,"제주특별자치도 제주시 정든로6길 11, 1층 (이도이동)",63225,2019-12-11 00:23:26.0
씨유제주성안점,안전상비의약품 판매업소,20191202,,영업/정상,,,,,,제주특별자치도 제주시 삼도이동 602번지 3호,"제주특별자치도 제주시 서사로 59, 1층 (삼도이동)",63171,2019-12-04 00:23:27.0
씨유뉴메르헨점,안전상비의약품 판매업소,20191202,,영업/정상,,,,,,제주특별자치도 제주시 노형동 722번지 2호 메르헨하우스,"제주특별자치도 제주시 연북로 41, 메르헨하우스 1층 133호 (노형동)",63084,2020-12-30 02:40:00.0
레몬비 한림귀덕점,안전상비의약품 판매업소,20191029,,영업/정상,,,,,,,"제주특별자치도 제주시 한림읍 한림해안로 592-1, 1층",63024,2019-10-31 00:23:03.0
씨유제주황사평점,안전상비의약품 판매업소,20191220,,영업/정상,,,,,,제주특별자치도 제주시 화북이동 5466번지 2호 황사평갤럭시타운,"제주특별자치도 제주시 황사평6길 58, 113동 101호 (화북이동, 황사평갤럭시타운)",63305,2019-12-22 00:23:25.0
지에스25외도부영점,안전상비의약품 판매업소,20191227,,영업/정상,,,,,,제주특별자치도 제주시 외도일동 533번지 14호,"제주특별자치도 제주시 우정로7길 30, 1층 (외도일동)",63070,2019-12-29 00:23:26.0
지에스25제주사평점,안전상비의약품 판매업소,20191219,,영업/정상,,,,,,제주특별자치도 제주시 오라이동 1341번지 1호 오라파인힐,"제주특별자치도 제주시 사평4길 24-10, 104동 지하1층 101호 (오라이동, 오라파인힐)",63145,2019-12-21 00:23:26.0
세븐일레븐제주삼화부영2차점,안전상비의약품 판매업소,20191219,,영업/정상,,,,,,제주특별자치도 제주시 화북이동 116번지 삼화사랑으로부영2차아파트,"제주특별자치도 제주시 화삼로 12, 상가동 101호 (화북이동, 삼화사랑으로부영2차아파트)",63303,2019-12-21 00:23:26.0
지에스25제주월랑점,안전상비의약품 판매업소,20191231,,영업/정상,,,,,,제주특별자치도 제주시 도두일동 2280번지 2호,"제주특별자치도 제주시 월랑로 93, 1층 (도두일동)",63109,2020-01-02 00:23:26.0
씨유아라스위첸점,안전상비의약품 판매업소,20191231,,영업/정상,,,,,,제주특별자치도 제주시 아라일동 6088번지 제주아라 KCC스위첸,"제주특별자치도 제주시 아란9길 22, 상가동 105호 (아라일동, 제주아라 KCC스위첸)",63237,2020-01-02 00:23:26.0
