"동별(1)",동별(2),동별(3),2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"동별(1)",동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"합계",성동구,왕십리2동,18148,0.41,44263,17744,0.41,43278,17416,0.41,42478,-,-,-
"합계",성동구,마장동,24157,1.06,22790,24035,1.05,22890,23459,1.05,22342,-,-,-
"합계",성동구,사근동,13408,1.11,12079,13543,1.10,12312,13512,1.10,12284,-,-,-
"합계",성동구,행당1동,16728,0.59,28353,16463,0.59,27903,14363,0.59,24344,-,-,-
"합계",성동구,행당2동,25075,0.42,59702,24640,0.42,58667,24151,0.42,57502,-,-,-
"합계",성동구,응봉동,16405,0.57,28781,16188,0.57,28400,15824,0.57,27761,-,-,-
"합계",성동구,금호1가동,16191,0.46,35198,15954,0.46,34683,15795,0.46,34337,-,-,-
"합계",성동구,금호4가동,15488,0.84,18438,15227,0.84,18127,14842,0.84,17669,-,-,-
"합계",성동구,성수1가1동,17570,1.98,8874,17168,1.98,8671,16851,1.97,8554,-,-,-
"합계",성동구,성수1가2동,15786,0.89,17737,14735,0.89,16556,13738,0.89,15436,-,-,-
"합계",성동구,성수2가1동,18317,1.18,15523,17722,1.18,15019,17146,1.17,14655,-,-,-
"합계",성동구,성수2가3동,11915,1.03,11568,11682,1.03,11342,11457,1.03,11123,-,-,-
"합계",성동구,송정동,11778,0.68,17321,11428,0.75,15237,11143,0.75,14857,-,-,-
"합계",성동구,용답동,15659,2.32,6750,13290,2.32,5728,12724,2.31,5508,-,-,-
"합계",성동구,왕십리도선동,27853,0.72,38685,27767,0.72,38565,27588,0.72,38317,-,-,-
"합계",성동구,금호2.3가동,24467,0.64,38230,24171,0.64,37767,23584,0.64,36850,-,-,-
"합계",성동구,옥수동,27518,1.95,14112,27222,1.95,13960,26912,1.94,13872,-,-,-
"합계",광진구,소계,371063,17.06,21746,366972,17.06,21507,360109,17.06,21105,352627,17.06,20666
"합계",광진구,화양동,24804,1.16,21383,25537,1.16,22015,25541,1.16,22018,-,-,-
"합계",광진구,군자동,22029,0.74,29769,22109,0.74,29877,21903,0.74,29599,-,-,-
"합계",광진구,중곡1동,16500,0.62,26613,16287,0.62,26269,16190,0.62,26113,-,-,-
"합계",광진구,중곡2동,22699,0.55,41271,22564,0.55,41025,22285,0.55,40518,-,-,-
"합계",광진구,중곡3동,17843,0.60,29738,17315,0.60,28858,16902,0.60,28170,-,-,-
"합계",광진구,중곡4동,31159,2.32,13431,30516,2.32,13153,29815,2.32,12851,-,-,-
"합계",광진구,능동,11891,1.10,10810,11978,1.10,10889,11913,1.10,10830,-,-,-
"합계",광진구,구의1동,23282,0.56,41575,23063,0.56,41184,22700,0.56,40536,-,-,-
